"","Virus","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","LASCr2D2E2F_vRhyme_unbinned_97",190.65774702266,-0.0724572595553088,0.542095105943694,2.48060010935259,0.289297399876946,0.486972769398432
"2","MGr2D2E2F_vRhyme_unbinned_83",329.873189427215,0.192496699442732,0.74848678080329,10.9006201005522,0.00429497282677973,0.0215640331199218
"3","SEr3G3H3I_vRhyme_unbinned_89",3.35945587355977,-2.75602027588652,1.2317050527493,6.46737717003212,0.0394118563634583,0.117910522852326
"4","LASCr2D2E2F_vRhyme_unbinned_81",12.4408272369529,-1.37248540012428,0.749528491280437,6.93768207455708,0.0311531150457889,0.0995664535934794
"5","LASCr2D2E2F_vRhyme_bin_16",119.792505521332,1.07867168503939,0.589467659341868,55.6049075978746,8.4245697778022e-13,9.34804533311432e-11
"6","BAr3G3H3I_vRhyme_unbinned_17",5.63308745569148,-1.2631874932668,0.746989475043084,5.57037879414337,0.0617173988293386,0.166144611690854
"7","MGr1A1B1C_vRhyme_unbinned_16",261.951518529992,0.804704759770517,0.776442136581338,13.0769443359514,0.0014466971215806,0.00945566451988044
"8","SEr3G3H3I_vRhyme_unbinned_69",7.47231515809761,-0.141099838810589,0.658794077443041,1.30343194461892,0.52115072882219,0.695666704251147
"9","SEr3G3H3I_vRhyme_unbinned_162",3.66565941477746,-0.276724654812827,0.899817277297054,0.211233550904545,0.899769395733561,0.93806025590944
"10","SEr3G3H3I_vRhyme_unbinned_207",19.2630219312684,0.21026799506227,0.882182661044783,2.14523103982582,0.342112544039983,0.537235174677506
"11","LAWAr2D2E2F_vRhyme_unbinned_78",458.699541182612,-1.5303248717401,0.550873801759118,52.8996839255836,3.258213871773e-12,2.95479270496414e-10
"12","LABRr1A1B1C_vRhyme_unbinned_64",140.764632995921,-3.28826427744878,1.31324687990216,16.0456579868784,0.000327891107693744,0.00276610463525362
"13","SEr3G3H3I_vRhyme_unbinned_229",108.464112843877,1.05041145961972,0.568608076477726,11.2352427474678,0.00363327303750889,0.0190320547921495
"14","SEr3G3H3I_vRhyme_unbinned_118",3.91112447304347,-0.716610935274823,0.89577579714934,0.6530759261736,0.721416987313046,0.828145608062682
"15","MGr1A1B1C_vRhyme_unbinned_80",158.772697080106,0.607454554739362,0.74619867239348,23.9585243548731,6.27296030090018e-06,9.37515872904985e-05
"16","BOr1A1B1C_vRhyme_unbinned_15",2.93997140057131,-0.36492311775109,0.916872885617638,0.160922192513127,0.922690799011635,0.95496913796619
"17","CRr3G3H3I_vRhyme_bin_12",1852.18485541617,0.989227549380703,0.539549988428442,3.5419238984575,0.170169215921417,0.341276202355066
"18","LABRr1A1B1C_vRhyme_unbinned_98",609.390576969744,0.789977451309055,0.669990070413911,3.87422128458243,0.144119762319081,0.305635454648533
"19","SEr2D2E2F_vRhyme_unbinned_71",16.8859793306864,-2.08622321826583,0.597608988148435,16.7144774806176,0.000234691484017711,0.00209618391662379
"20","BAr1A1B1C_vRhyme_unbinned_27",33.4737517218541,-1.11059597869569,0.578486772767033,6.6891350265042,0.035275468031493,0.108903625773822
"21","BOr3G3H3I_vRhyme_unbinned_3",195.752700941301,1.66771727933962,0.98822534607153,8.81229457879037,0.0122020990422946,0.0486407849185975
"22","SEr2D2E2F_vRhyme_unbinned_79",0.924173798038185,0.58172385167459,1.51808593589373,0.185114902945131,0.911596836879327,NA
"23","MHr3G3H3I_vRhyme_unbinned_49",162.739053546396,-1.31729840768747,0.711825265869462,3.7485496182741,0.153466218800248,0.316756022018719
"24","BAr1A1B1C_vRhyme_unbinned_18",2.00628099144369,-0.47218041696757,1.18746596921347,0.281995530061714,0.86849125274665,0.923886222679904
"25","SEr2D2E2F_vRhyme_unbinned_164",7.94301998330963,-1.37405773271657,0.824865529329544,4.52248034342958,0.104221152448858,0.241188025842572
"26","BAr3G3H3I_vRhyme_bin_4",23.8362149348043,0.51151245182238,0.630571646546485,1.25084844621016,0.535034406411172,0.704715991552732
"27","LASCr2D2E2F_vRhyme_unbinned_58",2.53295918542334,-0.46289501479006,0.933390304201902,0.507417766327968,0.775917651862358,0.864049511014798
"28","MHr3G3H3I_vRhyme_unbinned_14",144.817321560731,-0.820980417259585,1.02810379941597,10.2922729664253,0.00582185416332347,0.0275163204917992
"29","BAr1A1B1C_vRhyme_bin_18",43.393009652737,0.526040062970491,0.527552957204977,1.18931181562346,0.551752386894182,0.716881989055033
"30","MHr3G3H3I_vRhyme_unbinned_54",574.949850263205,-0.920197631643579,1.0474539084545,10.6020119276103,0.00498657506891787,0.0245271878813554
"31","SEr2D2E2F_vRhyme_unbinned_64",438.476051625612,0.281181370899582,1.02748603394893,1.9335316910157,0.380311035910912,0.57422613226507
"32","MHr2D2E2F_vRhyme_unbinned_12",106.13241753563,-0.057698657609557,0.722451966541965,14.0522158491046,0.000888382713140584,0.00641315082968651
"33","LAWAr2D2E2F_vRhyme_unbinned_56",808.840611925067,-3.01256138574609,0.613662154947751,46.0154949861264,1.01826829743554e-10,6.42394478077814e-09
"34","LASAr3G3H3I_vRhyme_unbinned_35",259.263027871444,-1.40229587268083,1.02736659081595,15.8261635909073,0.000365925134711876,0.00306911774836377
"35","LASAr3G3H3I_vRhyme_unbinned_20",3.81707413180074,0.00962999059250096,0.794072998696183,0.130950197814968,0.93662236938952,0.964404633363255
"36","LASAr3G3H3I_vRhyme_unbinned_27",44.9875860765127,1.54932230044414,0.78201536558869,3.87929423376336,0.143754669424143,0.305399744267102
"37","SEr3G3H3I_vRhyme_unbinned_57",2.62843381700988,-2.28159259941483,1.233188081379,4.31128612178564,0.115828681763074,0.259629125721147
"38","BAr3G3H3I_vRhyme_unbinned_13",22.727304613087,-1.98924028563361,0.815314560945778,9.44758027020609,0.00888145277027396,0.0379757211958059
"39","BOr1A1B1C_vRhyme_unbinned_17",5.64878443956573,-0.0631541007978708,0.665039502343493,3.83821842479124,0.146737615978707,0.309921806091854
"40","BOr1A1B1C_vRhyme_unbinned_6",5.10449173944161,-1.52826371176889,0.813503763661385,3.82989434930926,0.14734961617494,0.31042974711805
"41","LAWAr2D2E2F_vRhyme_unbinned_19",5.91874068392977,-3.11645867609842,1.09800481987756,13.9227591316831,0.000947788136072331,0.00674137541882819
"42","LASYr2D2E2F_vRhyme_unbinned_21",17.7061101048645,0.297011289885939,0.668574351545913,0.303677967396567,0.859126602993076,0.916612280105113
"43","MHr2D2E2F_vRhyme_unbinned_41",8.97491928709059,0.0618716034906152,0.592540117265435,1.76689515763011,0.413355377085386,0.602187401757927
"44","MGr1A1B1C_vRhyme_unbinned_45",895.041462980128,-0.164800845345351,1.04003134721047,4.98914582039947,0.082531692309675,0.205762002648348
"45","LABRr1A1B1C_vRhyme_bin_13",165.610912306615,0.79080747782026,0.738936347493745,4.57449861237909,0.101545398342271,0.238032912753853
"46","BAr1A1B1C_vRhyme_unbinned_56",40.74783799653,-0.124810165476054,0.601541817563886,4.82705309503756,0.0894991145077186,0.219129830783413
"47","CRr3G3H3I_vRhyme_unbinned_97",692.591440865413,-2.98746959637085,0.620972654889625,46.4339582627089,8.26026683573957e-11,5.4480214448446e-09
"48","LAWAr2D2E2F_vRhyme_unbinned_88",9.46324577799875,-0.555447602751459,0.748628971221307,17.5939417251534,0.000151190358531704,0.00151294627744484
"49","BOr2D2E2F_vRhyme_unbinned_27",1.8165344111677,-1.87494412822165,1.41664510010466,2.00017981912671,0.367846366778393,NA
"50","MGr3G3H3I_vRhyme_unbinned_92",588.924399037359,-0.587125451431052,0.85639650299974,4.29756937204655,0.11662580865622,0.260745837226772
"51","LASAr3G3H3I_vRhyme_unbinned_44",11.5971259974911,-1.61626542218639,0.60010374728551,8.14552257382709,0.0170302979832267,0.063199392260005
"52","LASCr2D2E2F_vRhyme_bin_9",1247.73641075988,-0.204546183646076,0.719319846285377,0.0943255434475816,0.953932111778431,0.972702385235772
"53","BAr2D2E2F_vRhyme_unbinned_11",5.70276643981694,-0.776783351092435,0.652438663543595,6.1288465967015,0.0466807549716895,0.135739028985814
"54","CRr3G3H3I_vRhyme_unbinned_29",135.10876241486,0.363837574041982,0.627282215547658,24.8691475411414,3.97862700990325e-06,6.3439426278787e-05
"55","BAr3G3H3I_vRhyme_unbinned_12",7.80563545873717,-0.0827208837654163,0.832644028432686,0.936449143056429,0.626112900737242,0.766011651745141
"56","BOr2D2E2F_vRhyme_unbinned_8",49.357034674899,-0.379719556670719,0.609726065848088,3.11823739140192,0.210321346653732,0.395306054397105
"57","SEr2D2E2F_vRhyme_unbinned_90",3.68302519062284,0.535613260777312,0.803138696621567,0.475804157345152,0.78827987672656,0.871794284398047
"58","BAr2D2E2F_vRhyme_unbinned_62",625.028811537322,-0.67084634294938,0.598795920547501,15.5666883512849,0.000416616603296849,0.00345434680790701
"59","SEr3G3H3I_vRhyme_unbinned_171",5.35736657120969,0.164342422168192,0.784457932358183,0.251273792991505,0.881935022348597,0.927211466078148
"60","MHr3G3H3I_vRhyme_unbinned_38",32.0991448033922,0.128965558590223,0.496493922106228,7.0448048629991,0.0295284099033035,0.0960666429813751
"61","MHr2D2E2F_vRhyme_unbinned_76",23.8273336188215,1.04579416471357,0.568155211220769,22.7415344255513,1.15275906075425e-05,0.000159300323538516
"62","LASCr2D2E2F_vRhyme_unbinned_55",8.71483231824905,0.627087464731681,0.717833461309381,6.75379912926855,0.0341531804805999,0.106572612639463
"63","LASCr2D2E2F_vRhyme_unbinned_123",70.8840068648914,-1.05231005234135,0.719789508559623,10.0407498911651,0.00660205083538839,0.030605673361497
"64","MHr3G3H3I_vRhyme_bin_19",13.2465792721269,-1.27698173545312,0.701204210155731,5.74911139632052,0.0564412108675639,0.155401692354133
"65","MHr1A1B1C_vRhyme_unbinned_33",106.004469048724,1.96995405989058,0.907915197716587,28.5072079134129,6.45265513055484e-07,1.32962744914046e-05
"66","MGr3G3H3I_vRhyme_unbinned_28",1394.06851687465,-0.787268349721616,0.607965622103325,7.9133606277268,0.0191265030049487,0.06886490287886
"67","SEr3G3H3I_vRhyme_unbinned_97",8.33661969916375,-0.902241962732927,0.79075072371551,2.52317330178933,0.283204323440072,0.479748525004847
"68","LASYr2D2E2F_vRhyme_unbinned_15",510.155024016478,-0.342748019757982,0.62061762253924,3.53174056077621,0.171037870790563,0.341369945690656
"69","SEr3G3H3I_vRhyme_unbinned_200",59.0310658388742,1.27148205206013,0.616646047869482,7.44684989065188,0.024151109803916,0.0819631940612395
"70","LASCr2D2E2F_vRhyme_unbinned_73",117.53704446844,-2.17238047272834,0.769856745254114,18.5652171692182,9.3028134913689e-05,0.00102260472545275
"71","MHr2D2E2F_vRhyme_unbinned_4",6.9305905314272,-0.457569842668769,0.652873818770408,0.672596414667062,0.714410031736898,0.822053097581474
"72","LAWAr2D2E2F_vRhyme_unbinned_36",9.93839132531819,-0.355837172811246,0.613780008941003,0.374235997778804,0.82934586871994,0.898358919098992
"73","MGr1A1B1C_vRhyme_unbinned_85",1930.80793480703,-0.0292784467429218,1.04920485591935,0.349010473650566,0.839872455952382,0.903376526009568
"74","CRr1A1B1C_vRhyme_unbinned_43",774.212563274297,-0.0177711275893169,0.711721448489285,5.18378826420019,0.0748780767103877,0.192652176573286
"75","CRr2D2E2F_vRhyme_unbinned_12",43.9924974549579,-0.00163167223523511,0.683604736399876,0.103383145832595,0.949621710734937,0.969138100936219
"76","SEr3G3H3I_vRhyme_unbinned_86",354.608244998149,0.654506821973877,0.591181414030592,3.0748589974998,0.214932877182508,0.40137400874108
"77","MHr3G3H3I_vRhyme_unbinned_55",25.2677627765796,-0.646115933643908,0.622900103843182,7.72769140259491,0.0209871338821538,0.0740783303885764
"78","LASCr2D2E2F_vRhyme_unbinned_93",69.9330170290007,-0.380303232795595,0.819600067198342,4.05983389185799,0.131346429551179,0.286094105307636
"79","CRr2D2E2F_vRhyme_unbinned_96",125.472957146222,0.397271043315511,0.812296667013667,0.676166142654353,0.713136044279938,0.821238412896976
"80","LASAr3G3H3I_vRhyme_unbinned_33",464.129577649808,0.17148271238793,0.504900947914068,39.8154058642596,2.26044773120771e-09,8.19977414495596e-08
"81","MGr2D2E2F_vRhyme_unbinned_21",626.300190420483,4.33020736937496,0.830436946794324,20.9417499732111,2.83502421436274e-05,0.000367287512057172
"82","SEr3G3H3I_vRhyme_bin_7",1374.21133353446,1.79240891285123,0.742902808576183,8.15622160022249,0.0169394374259616,0.0630233941155647
"83","CRr3G3H3I_vRhyme_unbinned_18",111.644403148236,-0.962972485594784,0.577820095613945,5.12701381864292,0.0770341145360601,0.196485989116356
"84","BAr1A1B1C_vRhyme_bin_10",16.7026977804217,-0.873844709852574,0.637872860953053,3.82208821072,0.147925855757384,0.31042974711805
"85","MGr3G3H3I_vRhyme_unbinned_82",939.732308058636,-1.59447642424807,0.730507805571419,15.656020257767,0.000398417491486702,0.00332243551808739
"86","LABRr1A1B1C_vRhyme_unbinned_120",22.7168118082765,-0.300090681692382,0.575294394051743,0.27404168597451,0.871952051857203,0.923895689591867
"87","MGr2D2E2F_vRhyme_unbinned_89",713.008342212381,-0.49899460889358,0.853158929107336,2.78230735237418,0.248788118075921,0.439162480934503
"88","SEr3G3H3I_vRhyme_unbinned_70",3.32190772637878,0.362522342118893,0.939392681213256,0.687381581749861,0.70914816923703,0.819782113919872
"89","LASCr2D2E2F_vRhyme_unbinned_38",33.7139862932779,0.600418666398831,0.519124270585283,3.32842335417885,0.189339860114138,0.368767969161899
"90","SEr2D2E2F_vRhyme_bin_14",167.995962394075,-0.113597330962076,0.699185012497786,18.3198923611072,0.000105168558011261,0.00113880281846522
"91","SEr2D2E2F_vRhyme_unbinned_24",33.0563178767655,-0.127798650460041,0.603088489356666,1.87664181624271,0.391284286350979,0.581119242062713
"92","LASCr2D2E2F_vRhyme_unbinned_100",19.1784256387841,-0.882492816924977,0.628562142390776,8.13141461076277,0.0171508540910746,0.0634458788700394
"93","MHr2D2E2F_vRhyme_unbinned_5",12.1055259016657,-1.15155966888674,0.611522432320692,3.93718644760607,0.139653178859512,0.29887428101055
"94","BAr1A1B1C_vRhyme_unbinned_25",134.936127371509,-0.725778361325609,0.554069078367215,4.88124497050437,0.0871066120007621,0.215318047722497
"95","BAr1A1B1C_vRhyme_unbinned_36",2.21926949756357,0.220318346868399,1.00759482754131,2.52212710578667,0.283352505809203,0.479748525004847
"96","SEr3G3H3I_vRhyme_unbinned_211",51.30752275863,-0.473903238581881,0.520137967538646,22.4720085598502,1.31906240509408e-05,0.000175592619246927
"97","CRr2D2E2F_vRhyme_unbinned_88",30.6317597020686,-1.31121284462697,0.65321025949687,5.20283909075781,0.0741682182988883,0.19149125400656
"98","BAr3G3H3I_vRhyme_unbinned_15",25.7783357433999,0.0207086247480453,0.639436191859567,42.0026590948886,7.5724857529368e-10,3.1393362364318e-08
"99","MGr3G3H3I_vRhyme_unbinned_9",167.38460495294,-0.60608120509365,0.834229492367481,9.21621988988241,0.00997064557907025,0.0418133142636732
"100","LASCr2D2E2F_vRhyme_unbinned_27",43.6366607662342,-0.397543527378414,0.596585635160088,39.1548064832095,3.14515318155053e-09,1.11307738205605e-07
"101","SEr3G3H3I_vRhyme_unbinned_18",12.2087778973585,0.0941953036836581,0.50518061995911,2.49541668001962,0.287162121334578,0.484075974815529
"102","SEr2D2E2F_vRhyme_unbinned_170",15.3654667442875,-0.580998655766074,0.519132993394264,5.7685650501831,0.0558948783261245,0.155401692354133
"103","CRr2D2E2F_vRhyme_unbinned_37",44.5714798999441,1.37193147163889,0.668202479179609,17.6632944176885,0.00014603748701387,0.00148182093466521
"104","MGr1A1B1C_vRhyme_unbinned_46",143.105133944859,3.80307902654069,1.10309919201808,24.3474537025034,5.1643730284448e-06,8.05753254222947e-05
"105","BOr1A1B1C_vRhyme_unbinned_13",6.76893267503858,-0.475936281096036,0.710027606655371,0.487980254463963,0.783495369492705,0.867427486014728
"106","MGr1A1B1C_vRhyme_unbinned_48",1113.53464380109,-0.188933624091328,0.733502528593853,4.40800790156129,0.110360394962858,0.252177847387571
"107","MGr2D2E2F_vRhyme_unbinned_74",326.22422506423,0.773407034646284,0.61538030967533,1.70161175924216,0.427070625718646,0.613544037542332
"108","CRr1A1B1C_vRhyme_unbinned_6",30.0261525772652,0.289857395500385,0.901263538770024,10.1195652829691,0.00634693892421235,0.0296122455917432
"109","MHr2D2E2F_vRhyme_unbinned_43",58.5006701279995,-0.435712862837826,0.626604445676809,1.50169670250628,0.471965989917066,0.652212048923489
"110","LAWAr2D2E2F_vRhyme_bin_8",380.7356052472,0.428343881054608,0.76905845904396,3.19512051539789,0.202389694837616,0.385896776884863
"111","LASAr3G3H3I_vRhyme_unbinned_4",127.925979050138,-0.645808650716986,0.48409896409485,4.55823476308623,0.102374524496439,0.238819027402465
"112","BAr3G3H3I_vRhyme_unbinned_19",22.9059581642179,-0.24487359790014,0.617555653118839,0.262744397574053,0.876891335753258,0.92660828087762
"113","LASCr2D2E2F_vRhyme_unbinned_91",47.000459576637,-0.957910341860484,0.430111001271957,7.66110771074771,0.0216975949717279,0.0758631573589813
"114","SEr3G3H3I_vRhyme_unbinned_198",2.43663063798624,-1.19727569062181,2.05844031333733,0.354595064100614,0.837530555264684,0.902718196169265
"115","BAr2D2E2F_vRhyme_unbinned_10",34.3504647204694,-3.42334579936244,0.93556706683377,12.0112239075045,0.00246488049411438,0.0141781361749536
"116","MHr2D2E2F_vRhyme_unbinned_34",32.4093477196317,-0.0701611333422531,0.676331824651255,0.504946298139544,0.77687707243133,0.864454472467684
"117","SEr2D2E2F_vRhyme_unbinned_29",7.46569498391851,-1.1937211948084,0.761956204058466,3.40557737966962,0.182174786052163,0.357210289948228
"118","CRr1A1B1C_vRhyme_unbinned_27",46.0086189534035,-0.826723340924635,0.691012766453044,1.64953176607426,0.43833760272134,0.621360154807131
"119","MGr1A1B1C_vRhyme_unbinned_81",2509.79397123344,-0.102915864544802,0.79803935846665,10.5317632590458,0.00516483754722943,0.0252186963037353
"120","SEr3G3H3I_vRhyme_bin_16",18.6952922124564,-0.46188199541672,0.48799274919254,2.09826995756377,0.350240583649423,0.545277990209563
"121","MHr1A1B1C_vRhyme_unbinned_23",9.88723949270121,-2.1645913113607,1.07186171040574,7.26703805902603,0.0264230371634642,0.0875338514250835
"122","LABRr1A1B1C_vRhyme_unbinned_26",1.66367625488525,0.573809438772553,1.09336980824267,0.825332288676734,0.661883219405471,NA
"123","LASCr2D2E2F_vRhyme_unbinned_82",13.3139390956069,-0.362866224445821,0.563590758536723,1.84608302363911,0.397308782152149,0.586334956211276
"124","BOr1A1B1C_vRhyme_unbinned_14",29.6725030024695,-0.33382066682942,0.635712447122361,0.377251776330382,0.828096249359169,0.898032629163045
"125","MHr3G3H3I_vRhyme_unbinned_30",10.2581788919417,0.518212625661769,0.741922534633636,0.677659432505543,0.712603783600812,0.821238412896976
"126","MGr1A1B1C_vRhyme_bin_10",508.311327477513,4.15244083089877,1.0576906475127,19.1462490806328,6.95736579276078e-05,0.000788682637913742
"127","SEr2D2E2F_vRhyme_unbinned_36",10.1749246173583,-0.575290154527325,0.593410340452659,11.6452927972585,0.00295976206113398,0.0163293336528723
"128","MGr1A1B1C_vRhyme_unbinned_32",327.861988418989,0.310247833106092,0.623776024804938,23.7377566756923,7.00505632273231e-06,0.000101643367242846
"129","MGr2D2E2F_vRhyme_unbinned_88",838.987616294813,3.59660691751223,0.95208073310156,41.5802494116463,9.35327195800064e-10,3.76988822529415e-08
"130","MGr3G3H3I_vRhyme_unbinned_103",1570.06568501384,-2.06191790347666,1.06064046921916,16.8253861395586,0.000222031105780424,0.002032079063686
"131","SEr2D2E2F_vRhyme_unbinned_17",29.7525528822143,0.379297640648915,0.518770540150466,1.91131174360447,0.384559839867017,0.577635949945178
"132","BAr1A1B1C_vRhyme_bin_27",22.7466304792727,0.851061993971987,0.506350499633047,23.7601485171637,6.92706567064012e-06,0.000101526992809079
"133","BAr3G3H3I_vRhyme_unbinned_4",3.86884204552358,-1.16781619629536,0.885027924940104,1.88131686381145,0.390370718184821,0.581119242062713
"134","LAWAr2D2E2F_vRhyme_unbinned_41",636.559810808714,0.73236235496679,0.598517030589306,2.39752299246008,0.301567473174173,0.498944587885662
"135","SEr3G3H3I_vRhyme_unbinned_227",4.23457024111103,0.444958254941745,0.761711461247082,0.67010761916034,0.715299595346055,0.822424495124506
"136","SEr3G3H3I_vRhyme_unbinned_208",241.383584733933,1.80213904909443,0.840391575906945,4.69877598442579,0.0954275467495474,0.230294391616778
"137","MGr1A1B1C_vRhyme_unbinned_12",403.689818383432,1.24828000292836,0.797476223524701,27.7228283971016,9.55133993908007e-07,1.76510041160474e-05
"138","BOr2D2E2F_vRhyme_bin_8",350.925849080677,-1.31636037178098,0.654022603146284,12.4257933372761,0.00200342579023179,0.012112378423443
"139","SEr3G3H3I_vRhyme_unbinned_248",318.490275426886,1.29420645410472,0.512062339085911,12.5532029238033,0.00187977824872776,0.0117062585360686
