Genome	BAr1A.filtered Trimmed Mean	BAr1A.filtered.filtered Trimmed Mean	BAr1B.filtered Trimmed Mean	BAr1B.filtered.filtered Trimmed Mean	BAr1C.filtered Trimmed Mean	BAr1C.filtered.filtered Trimmed Mean	BAr2D.filtered Trimmed Mean	BAr2D.filtered.filtered Trimmed Mean	BAr2E.filtered Trimmed Mean	BAr2E.filtered.filtered Trimmed Mean	BAr2F.filtered Trimmed Mean	BAr2F.filtered.filtered Trimmed Mean	BAr3G.filtered Trimmed Mean	BAr3G.filtered.filtered Trimmed Mean	BAr3H.filtered Trimmed Mean	BAr3H.filtered.filtered Trimmed Mean	BAr3I.filtered Trimmed Mean	BOr1A.filtered Trimmed Mean	BOr1B.filtered Trimmed Mean	BOr1C.filtered Trimmed Mean	BOr2D.filtered Trimmed Mean	BOr2E.filtered Trimmed Mean	BOr2F.filtered Trimmed Mean	BOr3G.filtered Trimmed Mean	BOr3H.filtered Trimmed Mean	BOr3I.filtered Trimmed Mean	CRr1A.filtered Trimmed Mean	CRr1B.filtered Trimmed Mean	CRr1C.filtered Trimmed Mean	CRr2D.filtered Trimmed Mean	CRr2E.filtered Trimmed Mean	CRr2F.filtered Trimmed Mean	CRr3G.filtered Trimmed Mean	CRr3H.filtered Trimmed Mean	CRr3I.filtered Trimmed Mean	LABRr1A.filtered Trimmed Mean	LABRr1B.filtered Trimmed Mean	LABRr1C.filtered Trimmed Mean	LASAr3G.filtered Trimmed Mean	LASAr3H.filtered Trimmed Mean	LASAr3I.filtered Trimmed Mean	LASCr2D.filtered Trimmed Mean	LASCr2E.filtered Trimmed Mean	LASCr2F.filtered Trimmed Mean	LASYr2D.filtered Trimmed Mean	LASYr2E.filtered Trimmed Mean	LASYr2F.filtered Trimmed Mean	LAWAr2D.filtered Trimmed Mean	LAWAr2E.filtered Trimmed Mean	LAWAr2F.filtered Trimmed Mean	MGr1A.filtered Trimmed Mean	MGr1B.filtered Trimmed Mean	MGr1C.filtered Trimmed Mean	MGr2D.filtered Trimmed Mean	MGr2E.filtered Trimmed Mean	MGr2F.filtered Trimmed Mean	MGr3G.filtered Trimmed Mean	MGr3H.filtered Trimmed Mean	MGr3I.filtered Trimmed Mean	MHr1A.filtered Trimmed Mean	MHr1B.filtered Trimmed Mean	MHr1C.filtered Trimmed Mean	MHr2D.filtered Trimmed Mean	MHr2E.filtered Trimmed Mean	MHr2F.filtered Trimmed Mean	MHr3G.filtered Trimmed Mean	MHr3H.filtered Trimmed Mean	MHr3I.filtered Trimmed Mean	SEr2D.filtered Trimmed Mean	SEr2E.filtered Trimmed Mean	SEr2F.filtered Trimmed Mean	SEr3G.filtered Trimmed Mean	SEr3H.filtered Trimmed Mean	SEr3I.filtered Trimmed Mean
LABRr1A1B1C_vRhyme_unbinned_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0201783	4.485639	4.500954	0	0	0	0	0	0	0	0	0	0	0.013952008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018678423	0.6181603	2.114343	0.2708144	0.006089802	0	0	0	0	0	0	8.884885
SEr3G3H3I_vRhyme_unbinned_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025595484	0	0	0	0	0	0	0	0	0.04177107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018712931	0	0	0	0	0	0.20549336	1.3746393	0.163754	24.033398	11.108027	6.820673
MHr3G3H3I_vRhyme_bin_14	3.9840004	3.9840004	4.819454	4.819454	8.828774	8.828774	0	0	0.025858695	0.025858695	0.41508466	0.41508466	0	0	0.039338488	0.039338488	0	0.38254723	0	0.06536843	0.28028673	0.25648302	0.05514238	0	0	0	2.2670271	13.071607	13.737279	5.9762206	14.8733	18.369728	11.557931	6.4900675	6.040048	0.2211322	0.16650358	0.0476074	0.43184265	0.3331784	1.1546628	4.205793	7.139079	4.2946963	0.023779234	0.65055287	0.19997065	1.9144486	0.17457677	3.0187151	2.3876848	6.6577945	4.262012	0.22827576	0.55387026	0.36877385	3.2385998	6.356175	19.781437	2.3520403	9.811796	10.108841	0.10558763	0.051399354	0.014580683	3.9417017	3.9408455	9.111385	0.0047705253	0.44204423	0	0	0	0.103508174
CRr3G3H3I_vRhyme_unbinned_31	0.14854217	0.14854217	1.4851851	1.4851851	0.4490938	0.4490938	0.029472025	0.029472025	1.3862096	1.3862096	2.3661938	2.3661938	0.02245863	0.02245863	0.09834515	0.09834515	0.3497242	0.16950354	0.093380615	0.14129236	0.1465721	0.022773838	0.1536643	0.30315208	0.16083531	0.20929866	0.306777	2.8099291	1.2492514	4.7265563	2.9818754	1.2883372	10.2506695	3.7678487	3.6545312	0.02356186	0.006540583	0	0.29448384	0.14539006	0.18707643	0	0.12923563	0	0.11229315	0.052797478	0.16343577	0.08305752	0.37580773	0.0428684	1.6918833	4.423089	3.797636	0.5968479	0.8750197	2.877226	5.3784084	3.073286	0.52584714	0.3784082	3.32829	0.98353034	0.07013396	0.02750197	0.024034673	0.011189913	0.12710796	4.0680065	0.2824271	0.12356186	0.23010245	0.35279748	0.41670606	0.10527975
SEr3G3H3I_vRhyme_unbinned_293	3.7286625	3.7286625	0.5255337	0.5255337	0.4124942	0.4124942	0.00039200313	0.00039200313	0	0	0	0	0	0	0	0	0	0.033106446	0.17579558	0.13345926	0.01913688	0.24411105	0.101635724	0	0.00042763978	0.011154271	0.09400948	0.011368091	0.022878729	0.23324187	0.078079894	0.11446492	0.533837	0.06400342	0.8039984	0	0	0	0	0	0	0.047432378	0.1562667	0.01404084	0	0	0.04340544	0.10694558	0.014325933	0.1644275	0.03756103	0.1665657	0.0056305905	0.058657926	0.19108371	0	0.060332846	0.11916895	0.21556608	0	0	0	0	0	0	0.079719186	0.12401554	1.3250419	1.5081073	0.568262	0	5.509711	2.8210683	28.10053
SEr3G3H3I_vRhyme_unbinned_281	0	0	0	0	0	0	0.0032883764	0.0032883764	0	0	0	0	0	0	0.0027641424	0.0027641424	0.0064814375	0	0	0	0	0	0	0	0	0	0	0	0.022351427	0	0	0	0	0	0	0	0	0	0.0070533287	0.01024639	0.018109899	0	0.0224944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.311586	29.786732	36.662155
LASAr3G3H3I_vRhyme_unbinned_13	0	0	0	0	0	0	0	0	0	0	0	0	0.07207954	0.07207954	0	0	0	0.36929026	0.43755868	0.29693455	0	0	0.051587958	2.5452085	2.0559514	0.7944767	0	0	0	1.1019608	0.46037006	0.004087269	0.55653137	0.030599281	0	0	0	0	7.158796	7.006462	9.811213	0	2.1200774	0.09748688	2.7875173	4.963767	3.2266226	1.7259321	3.2688208	0.5677437	0.024413146	0.7497929	1.3028997	0.018171776	0.43463132	1.6062967	4.016404	0.0673847	0.0692074	0	0	0	6.547252	6.1660867	6.639547	2.2235293	5.905385	0.08737918	0	0	0.52107155	0.0020988677	0	0
MHr1A1B1C_vRhyme_unbinned_21	0.36067396	0.36067396	3.7035117	3.7035117	0.9835833	0.9835833	0.047954082	0.047954082	0.23711659	0.23711659	1.1594149	1.1594149	0	0	0.099240884	0.099240884	0	0.5260137	0.084984265	0.20280194	0.42109486	0.4641733	0.23582053	0	0	0	7.0203047	11.484848	6.5843363	7.753194	7.211689	5.577177	8.789977	8.81164	9.484787	9.055484	7.581559	0.71283096	1.7420847	2.540517	1.5162624	4.73795	3.4498549	2.7083874	0.10300562	0.010368451	1.1438622	2.6958587	1.409492	5.524718	13.998334	15.4867	10.876319	3.3254335	3.8672469	2.8424983	9.562242	4.946553	3.5138555	7.8707027	9.587051	7.248966	0.15447757	0.25124976	0.19360612	0.7159785	8.731346	12.000247	3.3212986	5.980621	3.657039	4.0979447	3.0241313	39.784298
MHr2D2E2F_vRhyme_unbinned_46	0	0	0	0	0	0	0	0	0	0	0.023129547	0.023129547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052231513	0.025518514	0	0	0	0	0	0.005103703	0	0	0	0.23086111	0.12270605	0.90693885	0	0	0	0.014768162	0	0	0	0.08448257	0	0	0	0	0	0	0	0	0	0	0	0	0	5.316321	2.13856	2.3479204	0	0	0	0	0	0	0	0	0
LABRr1A1B1C_vRhyme_unbinned_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1911902	6.099226	0.76839286	0.05267857	0.27696428	0.060654763	0	0.02345238	0	0	0	0	2.1316667	1.3164881	0.1189881	0	0	0	0	0	0	0	0	0	0	0	0	0.54964286	0.71630955	1.105119	0	2.0265477	0	0	0	0	0	0	1.2496428
