"","Host","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","CRr3G3H3I__bin_97",12858.4424191253,1.83214165093381,0.700204215679266,6.4308605123432,0.0112154229062094,0.0467309287758725
"2","SEr2D2E2F__bin_42",111145.500705032,1.97760044845033,0.687861351326033,7.68950525373438,0.00555428515329425,0.0270940739185086
"3","LASYr2D2E2F__bin_2",25098.7687097179,5.18678570014366,1.17600672835022,13.6272817448964,0.000222922395494868,0.00212307043328446
"4","BAr2D2E2F__bin_44",43648.9605671892,2.84614831422116,0.810607265446845,10.7313247238843,0.00105337008801696,0.00717812032985144
"5","MGr3G3H3I__bin_125",9222.32941739972,-3.24310399564728,0.943628857920018,9.93633624065777,0.00162047757838246,0.00982107623262097
"6","BAr2D2E2F__bin_37",2598641.52804696,6.84430956174575,0.643791857902397,67.7989548519597,1.81045430392252e-16,2.4139390718967e-14
"7","LAWAr2D2E2F__bin_155",97984.7631605078,-2.16174069829537,0.820823275920034,6.37030643108372,0.0116045555342029,0.0478538372544447
"8","SEr3G3H3I__bin_180",910973.497567178,-3.68681115120273,0.892434695804781,13.785790624506,0.000204879952399129,0.00199882880389394
"9","SEr3G3H3I__bin_84",442739.835700475,-4.16960562277659,1.14740866298356,10.1940517448053,0.00140894393745818,0.00894567579338529
"10","SEr3G3H3I__bin_195",51298.6813963574,-2.68840659024951,0.703808431419664,12.8683930698167,0.000334178436878,0.0030379857898
"11","CRr3G3H3I__bin_43",352946.431393562,6.3188552323799,0.608186054084238,67.9508840275383,1.67619244381825e-16,2.4139390718967e-14
"12","LASCr2D2E2F__bin_103",4830.35591776538,4.91322558700729,1.36068745775157,9.38441788234036,0.00218837531421954,0.0126862337056205
"13","MHr3G3H3I__bin_85",84972.7479366752,6.90325468213228,0.881479051255434,36.6116271145122,1.44169223707208e-09,6.40752105365371e-08
"14","BAr2D2E2F__bin_127",62744.754059205,6.17127437043348,1.24923299083834,15.5744172793364,7.93205874174982e-05,0.000968822525173541
"15","LASCr2D2E2F__bin_86",31035.1847063583,3.25603694385964,0.837761728476685,12.6901598676904,0.000367584842214468,0.00326742081968416
"16","MGr1A1B1C__bin_68",123240.611847059,5.91717268324213,0.978905225762667,23.8789971920972,1.0258489526416e-06,3.41949650880533e-05
"17","MGr2D2E2F__bin_76",8434.18264308811,-1.5693177360919,0.519966741715435,8.69377080120984,0.00319299371480046,0.0170292998122691
"18","SEr3G3H3I__bin_85",826530.9006737,-3.03669244868644,0.985529501643005,8.13086666214963,0.00435179405001894,0.0219036326304179
"19","SEr3G3H3I__bin_28",129653.279228142,-6.44508568716692,1.05298276585844,23.3113812327919,1.37782288973845e-06,4.23945504534907e-05
"20","SEr3G3H3I__bin_231",606171.515293391,-7.20583866396001,0.869676374909306,39.8732961505427,2.7098277934264e-10,1.3549138967132e-08
"21","SEr3G3H3I__bin_69",59695.3834593693,-3.00490659594955,0.791852806135411,12.3668542845144,0.000437023309390612,0.00371934731396266
"22","SEr2D2E2F__bin_57",179227.760353118,3.16981544311247,1.09345198490196,7.11353047781685,0.00765042911381818,0.0351743867301985
"23","CRr1A1B1C__bin_52",9513.10279470323,-1.62281635856932,0.528552215020316,8.96907869501793,0.00274587023015434,0.014842541784618
"24","MGr3G3H3I__bin_117",13659.5757082457,4.37504855687473,1.11894699166251,11.575358096083,0.000668315644456471,0.00514088957274209
"25","BAr1A1B1C__bin_104",70174.1250234029,3.30907792030813,0.823659639628335,13.4950717279503,0.000239190825765706,0.0022250309373554
"26","CRr3G3H3I__bin_72",21457.4202639722,3.08187248003466,0.926786103368499,9.43342894557254,0.00213065535596291,0.0125332667997818
"27","SEr3G3H3I__bin_9",565235.034490248,-3.13528940497048,1.15285287447637,6.27983637220242,0.0122119375522022,0.0493411618270795
"28","BAr2D2E2F__bin_42",10859.1972944404,3.51236402309549,1.16846091241745,7.41818666658195,0.00645678550031774,0.0307465976205607
"29","SEr3G3H3I__bin_159",96765.1091181375,-4.233123948526,1.1631989798151,10.1624425432176,0.00143330601661871,0.00895816260386696
"30","SEr3G3H3I__bin_258",219498.802590255,-2.72978412927123,0.626451706422997,16.6891916499074,4.40311462785971e-05,0.000587081950381294
"31","MGr3G3H3I__bin_97",19157.2184079982,2.56755068248534,0.715220625374565,11.4779987654908,0.000704249219422889,0.005216660884614
"32","BAr3G3H3I__bin_3",18879.1466356575,3.52529741159596,0.979476450827984,10.6216627246082,0.00111770500871541,0.00745136672476943
"33","LABRr1A1B1C__bin_80",5408.68700894558,-2.00681549995856,0.743627690130767,6.76344363083986,0.00930440353299114,0.0404539284043093
"34","MGr2D2E2F__bin_53",3175.62234723204,-2.54283249678652,0.824941619602399,8.48280403976676,0.00358519074161274,0.0188694249558565
"35","LABRr1A1B1C__bin_136",1518.86956521491,-4.21775963717109,0.933843133971092,15.7364822952223,7.28063394459701e-05,0.000939436638012517
"36","CRr1A1B1C__bin_125",15109.1067452693,2.73714550484524,0.555019464187122,21.3692689033607,3.78794390770099e-06,9.46985976925248e-05
"37","SEr3G3H3I__bin_83",132175.488260663,-2.35457569292045,0.705106654505955,10.0967840187506,0.00148528300343221,0.00914020309804438
"38","LAWAr2D2E2F__bin_24",19478.2334858558,-3.61935201366082,0.723496926373759,20.3471517793656,6.45891563701323e-06,0.000135977171305542
"39","BOr3G3H3I__bin_49",124454.825671,4.75579518786322,1.07065470611689,14.4018440233828,0.000147657646198958,0.00155429101262061
"40","LASAr3G3H3I__bin_140",149216.292653312,-2.37847419896271,0.879037308537739,6.61695729058135,0.0101012261523346,0.0425314785361458
"41","SEr3G3H3I__bin_3",36453.3678721979,-3.03871324988459,0.983955990581886,8.1666922089606,0.00426666473589823,0.0218803319789653
"42","MHr2D2E2F__bin_20",7429.2498261192,-3.31044195189482,0.691432211137727,19.175482949895,1.19235004132672e-05,0.00022499088630119
"43","BAr2D2E2F__bin_106",149090.392469671,4.07929139153318,0.804501496499924,20.0188842749198,7.6681138259859e-06,0.000153362276519718
"44","LAWAr2D2E2F__bin_79",114386.240207621,2.7428105067187,0.998649895729145,6.62291926014348,0.0100674685386502,0.0425314785361458
"45","SEr2D2E2F__bin_67",113123.877167413,4.91956272586098,1.10650802307429,14.2034837868322,0.000164066479205196,0.00168273312005329
"46","MGr2D2E2F__bin_108",1076586.09593597,3.33619066075706,0.775869773494544,15.4208854795085,8.60321701776005e-05,0.00101214317856001
"47","LASCr2D2E2F__bin_94",3459.34201405481,1.71355371796866,0.633700145820426,6.92048920544245,0.00852136614102527,0.0378727384045568
"48","MHr1A1B1C__bin_83",16857.4139934133,2.53295808293902,0.606849230394969,15.5599976913971,7.99278583268172e-05,0.000968822525173541
"49","MHr2D2E2F__bin_85",29558.8205827727,-1.47036395835637,0.542885204881995,7.03871152390309,0.00797663960117556,0.0362574527326162
"50","SEr3G3H3I__bin_163",525024.226469361,-2.62995025036107,0.6632989875914,13.9304411142672,0.000189701201081411,0.00189701201081411
"51","SEr3G3H3I__bin_127",2012555.40367539,-9.50444548951338,1.31060121179142,25.2277008240177,5.09451951749086e-07,1.85255255181486e-05
"52","MHr1A1B1C__bin_12",28859.5419001444,2.61557880116847,0.98155996107643,6.29955525998557,0.0120768267666667,0.0492931704761907
"53","SEr2D2E2F__bin_169",43262.9546422614,4.51807079989443,1.40547256263475,7.71663185209736,0.00547143795997479,0.0270194467159249
"54","MHr1A1B1C__bin_14",257209.105127047,-2.09504044784572,0.737879666049914,7.43914887037525,0.00638200653392308,0.0307465976205607
"55","MGr3G3H3I__bin_42",327763.130147058,3.63246800751541,0.969376257318257,11.3993679939414,0.000734690964802871,0.00534320701674815
"56","SEr3G3H3I__bin_143",331932.564015447,-2.56410173950723,0.79793641868242,9.19852172442074,0.00242210648835046,0.013645670356904
"57","CRr3G3H3I__bin_3",14946.8754882572,2.88143708321376,0.819841038748428,10.7218584781298,0.00105877274865309,0.00717812032985144
"58","SEr2D2E2F__bin_66",121345.542312997,2.34791603935963,0.54237498634671,16.976763050215,3.7840112876324e-05,0.000535678871965566
"59","LASAr3G3H3I__bin_124",20226.5979544954,3.7065752511706,1.03316783191793,10.3792747815759,0.00127437741667898,0.00835657322412446
"60","LASYr2D2E2F__bin_65",166081.457691407,2.68278206766072,0.58738328916723,18.4058514983641,1.78508960091516e-05,0.000310450365376549
"61","SEr2D2E2F__bin_78",167135.630235511,3.01660611049101,0.915774183946778,9.3087087666986,0.00228067159344777,0.0130324091054158
"62","CRr3G3H3I__bin_99",7919.26916753201,4.48590411980409,1.11297274567652,12.1738238872414,0.000484648485098823,0.00395631416407203
"63","CRr3G3H3I__bin_105",32432.4325598345,3.29600765481084,0.634985772449722,22.5555075195291,2.04158396176755e-06,5.4442238980468e-05
"64","CRr3G3H3I__bin_11",35705.5280162737,-3.52072414596081,0.824809822675682,14.9459589747147,0.000110634762960153,0.00126439729097318
"65","LABRr1A1B1C__bin_78",29074.6055311723,-2.25087519594765,0.835176980998215,6.62820950881306,0.0100376111472865,0.0425314785361458
"66","MGr1A1B1C__bin_9",158.497398088162,2.41677965351666,0.76343056743605,9.08497010087548,0.00257718696342092,0.0141215724023064
"67","SEr2D2E2F__bin_150",248553.821853441,7.37316714694503,0.841819079223273,43.9080251447356,3.44174785912551e-11,2.29449857275034e-09
"68","MGr1A1B1C__bin_69",20977.9707995243,2.22311418251011,0.816886096182776,6.77247440240092,0.00925743976464176,0.0404539284043093
"69","BAr1A1B1C__bin_116",9899.41476803488,-1.68964309699947,0.615401993360648,7.1437550104269,0.00752254792444506,0.0349885949974189
"70","SEr2D2E2F__bin_46",146231.417037633,6.15218210746657,0.975934139024583,25.404699916886,4.6478437836037e-07,1.85255255181486e-05
"71","MGr1A1B1C__bin_125",442.294879487063,2.600477413666,0.857345421395235,8.21177746238841,0.00416193620266179,0.0216204478060353
"72","SEr3G3H3I__bin_73",1070147.82904709,-4.39199413724625,1.10892474131495,11.85524436091,0.000574991903164469,0.00450974041697622
"73","BOr3G3H3I__bin_53",4628.57815328895,2.41144288511616,0.803682440926895,8.11885305202347,0.00438072652608358,0.0219036326304179
"74","SEr2D2E2F__bin_162",116945.829362699,3.5765371032589,0.973168837325076,11.021783083224,0.000900474112963763,0.00643195794974116
"75","BAr1A1B1C__bin_58",30606.0255869428,4.49968580841156,0.940469890376368,17.1277191810848,3.49485062102383e-05,0.000517755647559086
"76","SEr3G3H3I__bin_282",1644147.51336513,-3.75473276938775,0.817627563612176,16.9274103242587,3.88367182175035e-05,0.000535678871965566
"77","CRr1A1B1C__bin_81",25709.3297389515,2.63543910082164,0.775716919718073,10.2237105229767,0.00138646639896148,0.00894494450942889
"78","SEr3G3H3I__bin_288",12869.5746372869,-2.99323682566131,0.603070420196274,21.1839613155557,4.17241588994137e-06,9.81744915280322e-05
"79","SEr3G3H3I__bin_206",22352.1456618373,-3.07003430870094,0.835800278978768,11.5225550290971,0.000687568221427335,0.00518919412397989
"80","MGr3G3H3I__bin_142",361258.602454175,3.45228999857243,0.717552447239896,19.1046197937962,1.23744987465655e-05,0.00022499088630119
"81","SEr3G3H3I__bin_170",35341.3343464651,-8.45762303647645,0.609457497713074,101.488591575152,7.18762110515411e-24,2.87504844206164e-21
"82","SEr3G3H3I__bin_117",644717.698526277,-5.15243641255504,1.2502388257969,11.9339874369064,0.0005511907736777,0.0044095261894216
"83","SEr3G3H3I__bin_168",148122.2517302,-5.54187056885923,0.653825300190475,48.6514118710504,3.05748119259436e-12,3.05748119259436e-10
"84","SEr2D2E2F__bin_5",445617.307677882,8.76554425565094,1.3824722318267,20.4509031315885,6.11806791857515e-06,0.000135957064857225
"85","LASAr3G3H3I__bin_6",147542.331042507,4.03838144965575,1.08324720227283,10.8629851806423,0.000981054269207815,0.00688459136286186
"86","LASAr3G3H3I__bin_113",504665.915515954,2.48017404236531,0.752245188097927,9.74771651838813,0.00179545606456789,0.0107191406839874
"87","BOr3G3H3I__bin_26",2533.73732503366,-1.96378205119099,0.627637615070225,9.12079750512864,0.00252719765819681,0.0140399869899823
"88","CRr3G3H3I__bin_87",88076.0097378334,5.91651371415566,1.14002005464799,17.60326965982,2.72120084043372e-05,0.000418646283143649
"89","SEr3G3H3I__bin_118",1170953.48186753,-3.52212231793564,0.756392466002321,17.7820064456414,2.47714881859699e-05,0.000396343810975518
"90","LASAr3G3H3I__bin_94",27976.6857714691,3.41276045068988,0.889914298220343,12.1822399361044,0.000482466739493045,0.00395631416407203
"91","CRr3G3H3I__bin_52",28416.9729140815,2.1988084096946,0.548784499257308,14.7060585684554,0.000125642009636036,0.00139602232928929
"92","MGr1A1B1C__bin_25",14613.9474235195,2.78046124040447,0.739725291642074,12.3676728177858,0.00043683175485469,0.00371934731396266
"93","CRr1A1B1C__bin_118",618873.108604826,2.79551996592111,0.970522398427048,7.25257447109755,0.0070799435665383,0.033317381489592
"94","MGr2D2E2F__bin_80",146280.518579502,5.22195096831293,0.689306652747899,40.0640424047059,2.45771602934926e-10,1.3549138967132e-08
"95","CRr2D2E2F__bin_75",118944.947308105,4.44208219538324,0.903349258022934,18.1885126884037,2.00082011375749e-05,0.000333470018959581
"96","LAWAr2D2E2F__bin_30",10530.7515188508,-1.8340485472958,0.674069671198475,6.95301696492496,0.00836779989453719,0.0376080894136503
"97","CRr3G3H3I__bin_129",123716.662027286,3.72450209380929,0.702330345209043,22.6375093373063,1.95627852577911e-06,5.4442238980468e-05
"98","CRr3G3H3I__bin_131",381130.149767519,7.64176451277369,0.824989677631359,47.9694228367496,4.32918199202166e-12,3.46334559361733e-10
"99","BOr3G3H3I__bin_97",6769.11140595044,2.24312440327191,0.563416998188095,14.4761619209544,0.000141944517245274,0.00153453532157053
