Genome	BAr1A.filtered Trimmed Mean	BAr1B.filtered Trimmed Mean	BAr1C.filtered Trimmed Mean	BAr2D.filtered Trimmed Mean	BAr2E.filtered Trimmed Mean	BAr2F.filtered Trimmed Mean	BAr3G.filtered Trimmed Mean	BAr3H.filtered Trimmed Mean	BAr3I.filtered Trimmed Mean	BOr1A.filtered Trimmed Mean	BOr1B.filtered Trimmed Mean	BOr1C.filtered Trimmed Mean	BOr2D.filtered Trimmed Mean	BOr2E.filtered Trimmed Mean	BOr2F.filtered Trimmed Mean	BOr3G.filtered Trimmed Mean	BOr3H.filtered Trimmed Mean	BOr3I.filtered Trimmed Mean	CRr1A.filtered Trimmed Mean	CRr1B.filtered Trimmed Mean	CRr1C.filtered Trimmed Mean	CRr2D.filtered Trimmed Mean	CRr2E.filtered Trimmed Mean	CRr2F.filtered Trimmed Mean	CRr3G.filtered Trimmed Mean	CRr3H.filtered Trimmed Mean	CRr3I.filtered Trimmed Mean	LABRr1A.filtered Trimmed Mean	LABRr1B.filtered Trimmed Mean	LABRr1C.filtered Trimmed Mean	LASAr3G.filtered Trimmed Mean	LASAr3H.filtered Trimmed Mean	LASAr3I.filtered Trimmed Mean	LASCr2D.filtered Trimmed Mean	LASCr2E.filtered Trimmed Mean	LASCr2F.filtered Trimmed Mean	LASYr2D.filtered Trimmed Mean	LASYr2E.filtered Trimmed Mean	LASYr2F.filtered Trimmed Mean	LAWAr2D.filtered Trimmed Mean	LAWAr2E.filtered Trimmed Mean	LAWAr2F.filtered Trimmed Mean	MGr1A.filtered Trimmed Mean	MGr1B.filtered Trimmed Mean	MGr1C.filtered Trimmed Mean	MGr2D.filtered Trimmed Mean	MGr2E.filtered Trimmed Mean	MGr2F.filtered Trimmed Mean	MGr3G.filtered Trimmed Mean	MGr3H.filtered Trimmed Mean	MGr3I.filtered Trimmed Mean	MHr1A.filtered Trimmed Mean	MHr1B.filtered Trimmed Mean	MHr1C.filtered Trimmed Mean	MHr2D.filtered Trimmed Mean	MHr2E.filtered Trimmed Mean	MHr2F.filtered Trimmed Mean	MHr3G.filtered Trimmed Mean	MHr3H.filtered Trimmed Mean	MHr3I.filtered Trimmed Mean	SEr2D.filtered Trimmed Mean	SEr2E.filtered Trimmed Mean	SEr2F.filtered Trimmed Mean	SEr3G.filtered Trimmed Mean	SEr3H.filtered Trimmed Mean	SEr3I.filtered Trimmed Mean
SEr3G3H3I__bin_117	0.03801846	0.07826287	0.11053898	0.060285844	0.16008273	0.16486666	0.08433488	0.09871671	0.15938571	0.3110706	0.25568834	0.7413716	0.20919746	0.22890449	0.25314853	0.14997175	0.18575768	0.19932023	0.09160248	0.10095979	0.115101025	0.10749876	0.0815176	0.11419953	0.25800467	0.19575691	0.1866531	0.03019668	0.013806041	0.02766953	0.35149974	0.6337624	0.24597158	0.06725224	0.36717254	0.095094904	0.097631544	0.100043796	0.26746553	0.5599623	0.8098184	0.37054244	0.04996142	0.10007937	0.09706181	0.027148552	0.1085531	0.092556685	0.29451606	0.4215993	0.14388366	0.08422394	0.11919401	0.10853386	0.9909987	0.21220553	0.13691226	0.05383331	0.1807769	0.16870059	0.12973373	0.16909114	0.14631489	46.729183	23.554384	0.62075746
MHr2D2E2F__bin_106	0	0	0	0.013407582	0.006837281	0.0004783592	0.09350078	0.0779809	0.072715774	0	0	0	0	0	0	0.027215384	0.049995802	0.019526405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08018002	0	0.005288165	0	0.01023071	0.043278404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4314382	15.802604	4.0963435	0.05150451	0.115606315	0	0.022015544	0	0	0	0	0.024790695
LASYr2D2E2F__bin_36	0.46332803	0.06764671	0.55902874	1.0229454	0.33073738	0.6045798	1.1587312	0.81189543	1.0268095	0.35284624	0.32950044	0.49116263	0.11969728	0.32187566	0.34833708	1.2085841	2.3211842	1.676314	0.20823215	0.1756982	0.076600865	0.03383691	0.13083895	0.2685365	0.069546945	0.14451192	0.044733223	0.07807643	0.10281786	0.094664395	2.3302515	0.4021797	2.8595653	0	0.83574927	0.012484008	1.9529259	6.6999846	0.8279966	0.00048351352	0.044084523	0.015402929	0	0	0	0	0	0.012203446	0.030837828	0.0293625	0	0.40257725	0.27096403	0.06101352	0.008494037	0.12245866	0.12523347	2.4884853	0.06840315	0.025446897	0.24548353	0.0018353589	0.0031371617	0.04410584	0	0.25442958
LASCr2D2E2F__bin_48	5.1194015	3.8068357	4.6466565	0	0.080793165	0.2260509	0	0	0	1.0558673	0	0.0035202652	0.17228128	0.5741206	0	0.0077871513	0	0	0.035287898	0.09840161	0.11511674	5.554625	8.278419	2.1431	0.0053689242	0.029317556	0.020922804	0.8129748	0.74484926	1.5538357	0.4077765	0.54979354	0.20076996	8.101583	7.5624747	9.31954	0.2830279	1.290187	0.9956799	3.3081717	1.2125313	11.492928	0	0.028878951	0.017645918	0.009779701	0.10358037	0.020556333	0.09997692	0.02211159	0.0007795957	0.026170509	0.08248707	0.050828665	0.0065436577	0	0.016826976	2.5426068	1.1716765	0.028876891	0.037400547	0.008001301	0.021896502	0	0	2.7440174
SEr3G3H3I__bin_168	0	0	0.060235362	0	0	0	0	0	0	0.038584046	0.00023868146	0.010704995	0.042110983	0.031683423	0.021023786	0	0	0	0.010691784	0	0.0046446	0	0	0	0	0	0.008329631	0	0	0	0	0	0	0.086177215	0.016726637	0.021189366	0	0	0	0.059825376	0.012826266	0.11278007	0	0	0	0	0	0	0	0	0	0.0022401707	0	0.00753564	0	0	0	0	0	0.011819576	0.05605315	0.057113566	0	5.6726775	15.311252	54.762974
MHr2D2E2F__bin_7	0.22042403	0.42581838	0.21610226	0.03158611	0.15288843	0.21559998	0	0.001891964	0	0.04751525	0.010053208	0.023437608	0.017319802	0.014412972	0.010958917	0.027716829	0.008129747	0.0014911629	0.041516457	0.10205618	0.15262397	0.24280277	0.32419378	0.08829286	1.3481276	0.17459397	0.15009941	13.697866	10.979172	2.465232	0.7237749	3.9277306	2.0349278	9.089159	5.715516	6.0641665	0.0561814	0.076749444	0.2836359	22.914486	14.905979	15.398538	2.4182847	0.60325354	0.4883929	1.2179072	0.855155	1.4799118	0.49077484	6.8054843	2.0270398	0.040452063	0.07187684	0.092995234	33.67393	27.077145	24.640112	0.7617234	89.971794	0.20340693	0.08162831	0.061558194	0.28019124	0.05634225	0.09445129	5.2185564
MGr3G3H3I__bin_160	0	0	0	0	0	0.0005582854	0	0	0	0	0.078273505	0.04789521	0	0	0.021925582	0.09680017	0.018510474	0.30962908	0	0	0	0	0	0	0	0	0	0	0	0	2.078732	3.997623	2.4425657	0	0.017170379	0	0	0.078914225	0.07759242	0.13544047	1.1326797	0	0	0	0.049293343	0.2179765	2.9109366	3.9635396	12.116595	7.4622736	7.4438324	0	0	0	4.5339675	1.3536156	0.51760566	0	0.23635386	0	0	0	0	0	0	0
SEr2D2E2F__bin_5	4.8370886	1.7341369	2.2013984	0.67019135	45.199272	0.82990587	0	0	0	0.11918052	0	0	0	0	0	0	0	0	0.29145107	0.42453206	0.1885091	0.62934935	1.3855357	2.6970608	0.56134033	0.34055144	1.7229149	0	0	0	0	0	0	0.025467794	0.015438871	0.09455552	0	0	0	0	0	0.035394322	0	0	0	0	0	0	0	0.07705258	0	1.0556338	0.5122719	0.31100816	0	0	0	0	0.054170366	2.461051	92.34731	7.2178154	1.0871416	0	0.046081144	0.07637312
LASAr3G3H3I__bin_6	0.020186072	0.16575325	0.7873394	0.2624221	5.157876	3.6015022	0.36933082	0.25515577	0.37442556	0.21772403	0.48091358	0.2809939	0.99499965	2.0886168	0.03181647	1.5691248	1.4331367	2.4472826	0.26807007	2.0031583	0.48335838	0.2324473	0.16048151	7.1219172	3.6319063	2.4072163	1.32933	1.1668375	1.0004598	0.12984638	9.96123	6.1628375	13.402838	0.19774172	2.7780032	3.162457	6.4746046	2.2320938	21.63746	1.154785	13.6811905	0.02499671	0.0366144	0	0	0	0	0.5317484	0.8670362	0.9589394	0.0492514	0.15667748	2.5640159	0.40783724	0.22183621	0.65843564	1.654372	1.4200236	0.051863216	1.1973668	1.7167346	7.1061583	24.63613	0.85766274	0.38450792	0.66642445
MHr2D2E2F__bin_59	0.3498073	0.6425455	0.34749514	0.23620161	0.41923538	0.59162354	0.039010048	0.055355113	0.06729059	0.10087332	0.072143875	0.10743511	0.009850935	0.0032287391	0.029946271	0.080779344	0.08589871	0.24735332	0.12552238	0.1593773	0.28768563	0.24000007	0.22654277	0.099230446	0.407063	0.38090727	0.219266	0.33274746	0.30040237	0.8163834	0.20770566	0.18624009	0.72802746	0.16902302	0.3443673	0.19388296	0.061420936	0.08602406	0.0575874	0.6216728	0.5969176	0.37832677	0.2593182	0.28300476	0.2534893	0.3269491	0.28540266	0.40989602	0.31495342	1.2706801	0.69930416	0.1230636	0.1312685	0.15207565	8.500346	10.716872	12.530179	0.17038488	0.40596178	0.23314098	0.09926936	0.019473799	0.2211417	0	0.0052816016	1.6898795
