Genome	BAr1A.filtered Covered Fraction	BAr1B.filtered Covered Fraction	BAr1C.filtered Covered Fraction	BAr2D.filtered Covered Fraction	BAr2E.filtered Covered Fraction	BAr2F.filtered Covered Fraction	BAr3G.filtered Covered Fraction	BAr3H.filtered Covered Fraction	BAr3I.filtered Covered Fraction	BOr1A.filtered Covered Fraction	BOr1B.filtered Covered Fraction	BOr1C.filtered Covered Fraction	BOr2D.filtered Covered Fraction	BOr2E.filtered Covered Fraction	BOr2F.filtered Covered Fraction	BOr3G.filtered Covered Fraction	BOr3H.filtered Covered Fraction	BOr3I.filtered Covered Fraction	CRr1A.filtered Covered Fraction	CRr1B.filtered Covered Fraction	CRr1C.filtered Covered Fraction	CRr2D.filtered Covered Fraction	CRr2E.filtered Covered Fraction	CRr2F.filtered Covered Fraction	CRr3G.filtered Covered Fraction	CRr3H.filtered Covered Fraction	CRr3I.filtered Covered Fraction	LABRr1A.filtered Covered Fraction	LABRr1B.filtered Covered Fraction	LABRr1C.filtered Covered Fraction	LASAr3G.filtered Covered Fraction	LASAr3H.filtered Covered Fraction	LASAr3I.filtered Covered Fraction	LASCr2D.filtered Covered Fraction	LASCr2E.filtered Covered Fraction	LASCr2F.filtered Covered Fraction	LASYr2D.filtered Covered Fraction	LASYr2E.filtered Covered Fraction	LASYr2F.filtered Covered Fraction	LAWAr2D.filtered Covered Fraction	LAWAr2E.filtered Covered Fraction	LAWAr2F.filtered Covered Fraction	MGr1A.filtered Covered Fraction	MGr1B.filtered Covered Fraction	MGr1C.filtered Covered Fraction	MGr2D.filtered Covered Fraction	MGr2E.filtered Covered Fraction	MGr2F.filtered Covered Fraction	MGr3G.filtered Covered Fraction	MGr3H.filtered Covered Fraction	MGr3I.filtered Covered Fraction	MHr1A.filtered Covered Fraction	MHr1B.filtered Covered Fraction	MHr1C.filtered Covered Fraction	MHr2D.filtered Covered Fraction	MHr2E.filtered Covered Fraction	MHr2F.filtered Covered Fraction	MHr3G.filtered Covered Fraction	MHr3H.filtered Covered Fraction	MHr3I.filtered Covered Fraction	SEr2D.filtered Covered Fraction	SEr2E.filtered Covered Fraction	SEr2F.filtered Covered Fraction	SEr3G.filtered Covered Fraction	SEr3H.filtered Covered Fraction	SEr3I.filtered Covered Fraction
MGr2D2E2F__bin_53	0.0028029801	0.014660381	0.0036371727	0.0011002945	0.001976966	0.0013175703	0.0005779781	0.0006681842	0.0008285777	0.0031127813	0.00094087754	0.0018624688	0.0025457891	0.0021914341	0.0022146264	0.0010741726	0.0008893661	0.00089925335	0.0031861423	0.0060285497	0.0048050913	0.004448051	0.0053022625	0.0038210028	0.0029486038	0.0028350833	0.0030528472	0.15524943	0.122658305	0.14119108	0.009962951	0.02091048	0.006679889	0.11672826	0.07722544	0.0757852	0.001283148	0.0010401164	0.0019122714	0.09577152	0.036537003	0.11677477	0.7285191	0.2160847	0.12218091	0.9969791	0.8758774	0.5288821	0.06404864	0.3269204	0.44806546	0.0032770808	0.0063471394	0.004168522	0.03012163	0.008844469	0.027693512	0.013270548	0.153926	0.003607755	0.0023217998	0.002121491	0.0018732105	0.0029605662	0.0028637685	0.17808695
LASCr2D2E2F__bin_31	0.113344446	0.66895425	0.8839599	0.38592634	0.34967765	0.43110204	0.0012440351	0.001356071	0.0020491416	0.43456644	0.07814189	0.07991167	0.30681688	0.23119846	0.057660177	0.0041686087	0.01109398	0.026043255	0.09915808	0.23867285	0.15280049	0.44555807	0.29876775	0.317664	0.008848412	0.0048868996	0.016873287	0.18548103	0.13409194	0.25990343	0.52352875	0.18577397	0.03364181	0.79907745	0.76222587	0.9791958	0.3495724	0.0016931486	0.16699606	0.54968596	0.02643223	0.8189417	0.024291907	0.14663705	0.23486945	0.03307193	0.047478005	0.033109277	0.10078139	0.064853266	0.009827634	0.2730417	0.25712046	0.19786753	0.050788157	0.023946099	0.046389654	0.15582158	0.85660857	0.021984259	0.067754075	0.026275573	0.006662014	0.0062381206	0.0062817708	0.33394217
MGr2D2E2F__bin_113	0.017430872	0.088857435	0.090148404	0.008124835	0.012401244	0.011715158	0.008044319	0.009087169	0.008081969	0.018534958	0.0073312446	0.01128559	0.01778718	0.020603646	0.0093089845	0.008444631	0.0072471	0.006085858	0.026334329	0.07210539	0.08658916	0.043943923	0.08218029	0.018238297	0.16219051	0.02927032	0.06464328	0.226294	0.2367674	0.16167885	0.013214112	0.023843782	0.018160956	0.11908169	0.0976366	0.05863272	0.009271335	0.007529245	0.011049032	0.04733307	0.018471226	0.09004748	0.9245173	0.6993394	0.58461684	0.9794648	0.9397243	0.8998538	0.1824517	0.87136257	0.6381041	0.024387434	0.068853915	0.05292109	0.06552011	0.026171029	0.029640691	0.018179327	0.122345194	0.10414228	0.012452047	0.012836936	0.014550675	0.010619236	0.010918846	0.21887384
LABRr1A1B1C__bin_136	0.003061357	0.0070675323	0.034696996	0.0007183208	0.00041214464	0.0007086137	0.0002410581	0.00026613462	0.0002006121	0.03708695	0.00235153	0.0026196868	0.011709519	0.012597308	0.0035163744	0.00029485126	0.00041538032	0.0002863576	0.008960809	0.42163447	0.3262224	0.0026714576	0.0037910026	0.0057882257	0.020541709	0.006344358	0.0049922485	0.9823708	0.97635084	0.36429015	0.0022253382	0.0018702226	0.0006184192	0.045868583	0.024425738	0.030894265	0.0006038586	0.0002742238	0.0034872533	0.017805133	0.0004720047	0.5382771	0.9744612	0.44129527	0.13085976	0.8068057	0.04246748	0.028009657	0.012033896	0.09775594	0.037825897	0.0060652806	0.3182339	0.19667915	0.0040175	0.0007069959	0.00046229767	0.0017780057	0.012720264	0.006995134	0.0058654775	0.0034108104	0.00044531035	0.023503974	0.031617843	0.49797103
MGr3G3H3I__bin_15	0.001068237	0.0012400795	0.0020284445	0.0009225227	0.0014470944	0.0055592544	0.10374461	0.023902683	0.071323164	0.0056939144	0.0020058337	0.009911089	0.0059361015	0.0061833137	0.0036549182	0.0015179417	0.0011230055	0.017221931	0.0032258146	0.0027987207	0.003728278	0.0049954904	0.047966655	0.0019048385	0.120325394	0.0031072332	0.051606502	0.0845284	0.082363285	0.034152433	0.0014707102	0.0016415477	0.0012973603	0.010448725	0.0047708894	0.0039197165	0.0008441384	0.0013661978	0.001328513	0.05297069	0.056704495	0.008461483	0.007643472	0.0032293317	0.022287766	0.0028464547	0.002536435	0.002370622	0.029051425	0.99892825	0.014640776	0.0032931447	0.002507292	0.003548396	0.15271217	0.0028740903	0.0014551338	0.0027107897	0.0030720609	0.044805158	0.0032725437	0.047314458	0.9895739	0.031695887	0.028915256	0.11762968
CRr1A1B1C__bin_125	0.5275905	0.6974498	0.95103496	0.12691526	0.14216499	0.088836014	0.093668066	0.12998275	0.106921524	0.24400173	0.07117596	0.08056291	0.1912737	0.13207111	0.08795358	0.059706833	0.06890253	0.08323214	0.9767284	0.9724741	0.9891318	0.21162985	0.37196532	0.26445737	0.7236125	0.70206213	0.8890958	0.19146836	0.18088289	0.16625696	0.039978508	0.08506158	0.069641285	0.7705868	0.69857043	0.64988965	0.1104565	0.08774163	0.2387504	0.09012753	0.14035317	0.07077615	0.089237064	0.15697229	0.12647527	0.08703995	0.09621031	0.1516842	0.15078075	0.42097208	0.07853758	0.9724089	0.98389226	0.9710086	0.054023556	0.12460135	0.07564373	0.28131998	0.08952379	0.7591823	0.17664284	0.11697648	0.29778087	0.04333366	0.036318704	0.3235648
CRr2D2E2F__bin_13	0.07046889	0.15201138	0.08784682	0.012735512	0.044726394	0.058126446	0.008820678	0.06752467	0.010602325	0.06075654	0.03981999	0.06318645	0.05630757	0.060199577	0.05043953	0.030491928	0.029506344	0.020317849	0.65121233	0.8880049	0.82108396	0.85748416	0.9227484	0.5049723	0.8841836	0.8695289	0.85699075	0.3845297	0.32805225	0.10430035	0.061680388	0.07391488	0.07033849	0.42112204	0.24875315	0.30146074	0.02911514	0.03644285	0.04875423	0.124361135	0.08412057	0.16774161	0.8262152	0.89437264	0.8636762	0.5653071	0.60025865	0.6866249	0.61023647	0.60319185	0.16171885	0.5592529	0.8288599	0.7750689	0.1126258	0.06889678	0.063627236	0.060314078	0.21969843	0.8873132	0.052541472	0.06426278	0.070400976	0.05985758	0.06135616	0.21809284
MGr3G3H3I__bin_159	0.08850626	0.15817884	0.08293444	0.03708974	0.07332091	0.039897468	0.031735048	0.03405466	0.020552464	0.045790005	0.025953285	0.042158242	0.03899029	0.039960176	0.028185051	0.010827889	0.012674295	0.012024849	0.07384246	0.15715563	0.09672641	0.06744689	0.07379412	0.07982837	0.09997862	0.06276982	0.069523126	0.42326224	0.21819589	0.2928226	0.031412948	0.046291385	0.038030345	0.10041591	0.09200128	0.11432612	0.035507973	0.013558825	0.029514885	0.088010676	0.039619017	0.39205924	0.9495937	0.89211255	0.6165529	0.9602473	0.9786583	0.9264512	0.6730062	0.97658926	0.9797578	0.060063194	0.13472803	0.06951374	0.087232776	0.02827925	0.02217677	0.048367627	0.092966475	0.08561565	0.07172119	0.06512949	0.04915105	0.059712917	0.05930601	0.49520415
SEr3G3H3I__bin_176	0.5048087	0.652979	0.38282353	0.02220694	0.06676927	0.10661297	0.015139772	0.03236455	0.00904856	0.124852896	0.0842477	0.1678183	0.21039975	0.06964136	0.05146675	0.031100342	0.03006437	0.0142379515	0.33213043	0.38086754	0.48940173	0.7859755	0.81456614	0.24375826	0.74178296	0.57440877	0.64606154	0.29957154	0.24539775	0.24839039	0.14165933	0.194612	0.098680176	0.3141772	0.32202172	0.26657665	0.07468089	0.09256372	0.088613644	0.3144303	0.1127259	0.7495336	0.8047755	0.8699393	0.8590688	0.7954138	0.82669985	0.78806776	0.6163587	0.6560972	0.76189643	0.28874952	0.46481305	0.42883417	0.6817926	0.24869771	0.34949413	0.22044404	0.53733426	0.8142385	0.6013838	0.33575395	0.04606254	0.64175296	0.8857444	0.9964455
SEr3G3H3I__bin_83	0.8633268	0.4441725	0.3903916	0.042907003	0.31773326	0.3789774	0.0033289392	0.04461995	0.0034981428	0.23831972	0.21378481	0.12110418	0.45095167	0.24685442	0.20557559	0.015416924	0.030534223	0.06032357	0.74877596	0.4215148	0.5677174	0.10552148	0.33756354	0.550059	0.23854823	0.36035624	0.84940076	0.008888325	0.008727105	0.0021277834	0.015471296	0.017725317	0.0044658356	0.19499142	0.15768221	0.18193993	0.16372068	0.0032612577	0.2145217	0.03917996	0.010946525	0.036382966	0.01593442	0.03003954	0.033539206	0.0267068	0.015661793	0.020725355	0.0063574943	0.13693556	0.011556039	0.70715106	0.50089526	0.61988837	0.0042939703	0.0032867333	0.0010049556	0.009585291	0.014581552	0.8289005	0.77628577	0.63382846	0.32936573	0.9676593	0.97891724	0.9988775
