site,treatment,total_abundance,total_abundance_norm,mean_abundance,mean_abundance_norm,sd_abundance,sd_abundance_norm,n,se_abundance,se_abundance_norm
Balmoral,Damaged,70.62050065,0.0534659591344403,5.044321475,0.0038189970810314495,4.237916418999137,0.003208477198375418,14,1.1326308052627636,8.575016006855102e-4
Balmoral,Natural,1467.3622890600006,0.2993107795236948,6.324837452844828,0.0012901326703607541,7.033330653308362,0.0014346502538498493,232,0.4617607796044315,9.418940361715958e-5
Balmoral,Restored,866.5173165699998,0.27623526958560846,6.877121560079365,0.002192343409409592,11.175458627819332,0.0035626014249988823,126,0.9955889839373042,3.17381760428058e-4
Bowness,Damaged,625.837359,0.2835894552014129,5.5878335625,0.0025320487071554725,4.726887065412558,0.002141922830910695,112,0.4466488446631975,2.023926835028982e-4
Bowness,Natural,497.54331429999985,0.20999884694615237,3.6584067227941177,0.0015441091687217082,2.890492331538815,0.0012199943990481366,136,0.24785767261208919,1.0461365665927037e-4
Bowness,Restored,666.3342367000002,0.24472640542418367,4.3837778730263155,0.001610042140948577,4.464902977039071,0.0016398371807367597,152,0.3621514530731253,1.3300835894109015e-4
Crocach,Damaged,1469.893144870001,0.28993619046651886,5.832909305039682,0.0011505404383592016,5.904592854758587,0.0011646800072095999,252,0.3719543877804796,7.336794419155989e-5
Crocach,Natural,1229.6927576599987,0.2971317259374815,5.1237198235833334,0.0012380488580728394,5.423212749121695,0.001310415593029152,240,0.35006687767146777,8.458696280687369e-5
Crocach,Restored,1403.0527307099992,0.23685187955553733,5.7977385566528925,9.787267750228815e-4,5.69544741544252,9.614588217041936e-4,242,0.36611722630461835,6.180491387806028e-5
Langwell,Damaged,1325.9746206899995,0.32938671811789894,6.284239908483412,0.0015610744934497578,6.386539956568443,0.0015864869535196927,211,0.4396675425217717,1.0921826604708886e-4
Langwell,Natural,1297.35693596,0.22526834602496046,7.050852912826087,0.0012242844892660894,9.077295465954998,0.0015761486136291797,184,0.6691871000481917,1.1619521739215771e-4
Langwell,Restored,1672.3520965700009,0.2610072988293682,5.972686059178572,9.32168924390601e-4,6.862600652248434,0.001071059654759162,280,0.41011883170020996,6.400805708359844e-5
Migneint,Damaged,1889.9916775599988,0.2730498289423326,7.65178816825911,0.0011054648945033705,10.862901745023017,0.001569379113417675,247,0.6911898862061132,9.985720172001016e-5
Migneint,Natural,1294.5347222199994,0.21991371909231008,5.753487654311112,9.773943070769337e-4,6.045899964755812,0.0010270688948608687,225,0.4030599976503874,6.847125965739124e-5
Migneint,Restored,1450.8491523599994,0.24751442094700565,6.50605001058296,0.0011099301387758104,10.230253551597736,0.0017452781220197203,223,0.685068448447451,1.1687246744481708e-4
Moor House,Damaged,1112.2478385499994,0.20834014473546997,5.347345377644231,0.001001635311228221,5.918243010454977,0.001108572714319952,208,0.4103563199009958,7.686568777040153e-5
Moor House,Natural,1034.0533005599998,0.3161255839888477,4.6163093775,0.0014112749285216414,4.503122445803335,0.0013766719879738604,224,0.3008775243372783,9.198276630298503e-5
Moor House,Restored,1404.9655082299998,0.3135480966131544,8.672626594012346,0.0019354820778589776,11.58691392789789,0.0025858676148497175,162,0.9103539346046059,2.031649473012132e-4
Stean,Damaged,5095.559966700002,0.21464680440663622,16.279744302555912,6.857725380403712e-4,22.649480421699497,9.54093097865547e-4,313,1.2802243256067414,5.3928530369762685e-5
Stean,Restored,1815.1348820699993,0.18450742497646747,7.118176008117647,7.235585293194805e-4,7.91256654792997,8.043078743815324e-4,255,0.4955041377141514,5.036771284487787e-5
All sites,Damaged,11590.125108019998,0.23836876753863506,8.540991236565954,1.756586348847717e-4,13.345230283419536,2.7446520771175925e-4,1357,0.3622731509522652,7.450705121817428e-6
All sites,Natural,6820.543319760002,0.2590700684582199,5.496005898275585,2.0875912043369886e-4,6.264196572598081,2.3793791180785824e-4,1241,0.1778195417948131,6.754259698421292e-6
All sites,Restored,9279.205923209985,0.24182874630374265,6.443893002229166,1.679366293775989e-4,8.42265378277572,2.1950583074618427e-4,1440,0.22195641580503628,5.784486540377999e-6
