"","Host","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","CRr3G3H3I__bin_97",184104.70283888,-3.62229974310447,0.777358722464913,20.1491419732835,4.21375628170447e-05,0.000191304535189383
"2","MGr2D2E2F__bin_102",5556.72124084316,-1.65132570842707,0.612736525671911,7.50513510717232,0.0234574402353839,0.0431161047241469
"3","MGr2D2E2F__bin_107",264.955649005018,0.960833201220332,0.383444106081723,7.29697399716207,0.0260304831575862,0.0459838107141795
"4","CRr2D2E2F__bin_21",907559.599885568,-1.45943670113069,0.589207719736664,18.1191164839709,0.000116274330358931,0.000479895872572317
"5","SEr2D2E2F__bin_42",12587.9371258186,2.20785018190959,0.548924560308572,22.8825028373574,1.0743051132517e-05,5.54243774336673e-05
"6","LASYr2D2E2F__bin_2",1696.00802918578,1.34590215846178,0.479180441293067,8.49375097484807,0.0143088723876629,0.0284500687440184
"7","SEr3G3H3I__bin_90",53274.1682087498,0.78089161839943,0.782408051902312,7.67250001754545,0.0215743534768385,0.0404742003243168
"8","CRr1A1B1C__bin_138",142217.14729418,-1.04281756893336,0.647578895804345,10.5949595002695,0.00500418983655938,0.0115913376826426
"9","LABRr1A1B1C__bin_32",2421.46004183919,-1.50132193608871,0.564883339481244,7.34791224968902,0.0253758809534746,0.0453568895782578
"10","SEr3G3H3I__bin_216",101831.547242407,1.93507231010979,0.482191186573937,15.1284643477335,0.000518675467491502,0.0016583004383179
"11","SEr2D2E2F__bin_135",750559.010569821,-1.40149798094903,0.523776973937981,10.8701673075931,0.0043608702025447,0.0103656286489806
"12","MGr1A1B1C__bin_104",7345.66422614177,1.23812785213814,0.954110778848854,10.5992253550567,0.00499352763786422,0.0115913376826426
"13","BAr2D2E2F__bin_44",55839.2869757545,-2.10885661595592,0.765395273884779,7.52148700065322,0.0232664353402701,0.0429388684735067
"14","MGr3G3H3I__bin_125",1520.08893365651,-1.33572143491603,0.410525471286751,16.5367137122215,0.000256506422133147,0.000954540292200399
"15","MHr1A1B1C__bin_78",328328.234974885,1.25764171093596,0.413368948613863,14.9781801401361,0.000559151517771123,0.00176288047963951
"16","LASAr3G3H3I__bin_54",13543.0312188762,1.54822286771245,0.328670380190621,24.221217652949,5.5008450807996e-06,3.24335541127665e-05
"17","BOr2D2E2F__bin_74",194464.307680724,1.43531195295614,0.445139650716779,10.1908952355168,0.00612456455733595,0.0137651104407452
"18","BOr2D2E2F__bin_32",4316.60792386423,2.29237892041945,0.799507393286128,9.01043451770255,0.0110511889574066,0.0230148614067091
"19","BAr2D2E2F__bin_37",177243.431166156,-0.537672473606169,0.52485621168802,18.9044103245702,7.8516233193147e-05,0.000333143643641951
"20","LABRr1A1B1C__bin_19",1222.92542636916,-0.563434769397796,0.247482228324725,42.8562974639832,4.94166440206542e-10,7.23714722108935e-09
"21","SEr2D2E2F__bin_145",23029.6895503702,-0.16583291242292,0.359653087822841,20.7790072820613,3.07535955826424e-05,0.00014543887910958
"22","CRr2D2E2F__bin_61",69974.62098932,1.95086127209641,0.469146967610303,19.4664981718907,5.92793770315951e-05,0.000263851344826904
"23","SEr3G3H3I__bin_180",1790.10198848717,-0.523696604808162,0.412531136490203,13.0965330714622,0.00143259680251602,0.00407653440783884
"24","LABRr1A1B1C__bin_86",1054.83626441995,-1.26135923767208,0.679586896706196,8.54627961086564,0.0139379519214117,0.0278759038428235
"25","CRr2D2E2F__bin_63",494674.360535278,5.73731720960455,0.56781743255097,86.9903521158171,1.28909537022033e-19,7.3156162260004e-18
"26","LASYr2D2E2F__bin_98",110713.24890566,3.54559096335952,0.57273957954586,39.1833797060054,3.10053905146477e-09,4.1401315569559e-08
"27","BAr1A1B1C__bin_60",67178.8114106457,1.19271686947318,0.899255527307784,7.08043785930542,0.0290069758998314,0.049694970032164
"28","CRr1A1B1C__bin_31",43529.2768779311,-1.63661164946573,0.79901654844338,13.0908628883399,0.00143666410848946,0.00407653440783884
"29","MGr1A1B1C__bin_132",18387.7882321926,-1.48253385996464,0.50682999083292,59.161807982664,1.42290736355656e-13,3.588888572526e-12
"30","LABRr1A1B1C__bin_96",7849.28952622177,-1.04026893056,0.472366630995272,14.4624353237596,0.000723639178619437,0.00223491283736887
"31","LAWAr2D2E2F__bin_95",2822.74813923297,-0.465951535210261,0.32490635437862,7.85328065803026,0.0197097798169248,0.0374403348823592
"32","CRr3G3H3I__bin_43",589478.674916403,-1.39322244748447,0.691773334188504,23.0191363981351,1.00336290783192e-05,5.35913835477285e-05
"33","BOr1A1B1C__bin_33",26434.5973888992,0.203163741180647,0.512275252206785,16.6215238907177,0.000245856642648801,0.000922470378202941
"34","SEr3G3H3I__bin_11",8139.47632424964,1.61339534024019,0.371112254521427,18.0211070888436,0.000122114241649695,0.000499458249630286
"35","LASCr2D2E2F__bin_103",1125.34604041798,4.26201826249512,0.556105265626799,67.9457521568745,1.76103255583637e-15,5.33005853566474e-14
"36","LASAr3G3H3I__bin_1",59166.7328443877,2.70852314316814,0.562685622811584,21.0242365012273,2.72047695042406e-05,0.000131393248456651
"37","CRr3G3H3I__bin_51",224210.95792924,-4.24286935337967,0.479265147891001,60.21908152392,8.38672870132935e-14,2.23974990023737e-12
"38","MHr3G3H3I__bin_85",514559.603250526,1.40054741992803,0.596884405092512,12.384987234078,0.00204472163810367,0.00533893000198042
"39","BAr3G3H3I__bin_15",44491.7003107428,-0.341864967633952,0.768378468389098,9.72616219568991,0.00772664064247571,0.016546673828698
"40","CRr1A1B1C__bin_98",75140.0668024973,-1.71556583599422,0.407334963818184,20.3898279448535,3.7359849520832e-05,0.000171326986691492
"41","SEr3G3H3I__bin_276",43626.0602129712,2.34076721894098,0.614949308244524,16.1846845133929,0.000305872485566426,0.00112899275160291
"42","MHr2D2E2F__bin_27",29985.8033091075,2.72093689092526,0.554429113751409,34.5236512566053,3.18628326125102e-08,3.36412232699526e-07
"43","SEr3G3H3I__bin_75",25220.5241983869,-1.10342241365877,0.725432604082471,7.93467594402554,0.0189237416740328,0.0362505431224088
"44","SEr3G3H3I__bin_7",18142.047706474,-0.352782424730718,0.339944954038248,16.0971911044927,0.000319550399316846,0.00116060705031878
"45","LABRr1A1B1C__bin_71",8060.68078814542,1.00371216077318,0.333494440875903,13.1623270262441,0.00138623545301507,0.00398323351689141
"46","LASCr2D2E2F__bin_30",11943.9634852528,-1.77880874473113,0.415670041532698,19.8738167397294,4.83565744127228e-05,0.000217365195875011
"47","LABRr1A1B1C__bin_20",1042.3302439256,-0.850192659390644,0.317923889882255,7.22861066432074,0.0269356300355839,0.0472153514909464
"48","LABRr1A1B1C__bin_94",6342.0833849711,1.00397863340214,0.257954943801884,14.9176652709699,0.000576328564462238,0.0017921449881223
