Genome,Domain,Phylum,Class,Order,Family,Genus
BOr2D2E2F__bin_61,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
MHr2D2E2F__bin_51,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
BOr1A1B1C__bin_39,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
BOr3G3H3I__bin_102,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
SEr3G3H3I__bin_99,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
MGr2D2E2F__bin_11,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
MGr1A1B1C__bin_75,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
LASYr2D2E2F__bin_114,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
LABRr1A1B1C__bin_116,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
SEr3G3H3I__bin_154,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
CRr2D2E2F__bin_38,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
LASCr2D2E2F__bin_129,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
LABRr1A1B1C__bin_56,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
BAr2D2E2F__bin_111,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
CRr2D2E2F__bin_119,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
LASCr2D2E2F__bin_72,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
LABRr1A1B1C__bin_55,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
BOr2D2E2F__bin_39,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
CRr2D2E2F__bin_3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
LAWAr2D2E2F__bin_17,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
BAr1A1B1C__bin_33,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
LASCr2D2E2F__bin_99,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
SEr3G3H3I__bin_73,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
CRr3G3H3I__bin_82,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
MHr1A1B1C__bin_77,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
SEr3G3H3I__bin_197,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
SEr2D2E2F__bin_79,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
CRr2D2E2F__bin_44,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
MHr3G3H3I__bin_51,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
LASAr3G3H3I__bin_66,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
SEr2D2E2F__bin_76,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
LAWAr2D2E2F__bin_155,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MHr2D2E2F__bin_50,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
LASYr2D2E2F__bin_88,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MGr1A1B1C__bin_89,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MHr2D2E2F__bin_132,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
SEr3G3H3I__bin_9,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
SEr3G3H3I__bin_117,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr3G3H3I__bin_6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
SEr2D2E2F__bin_80,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
LASAr3G3H3I__bin_140,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BOr2D2E2F__bin_49,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
SEr3G3H3I__bin_118,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
CRr3G3H3I__bin_47,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MHr2D2E2F__bin_119,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
LASAr3G3H3I__bin_63,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
LASYr2D2E2F__bin_33,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
LAWAr2D2E2F__bin_27,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MHr3G3H3I__bin_83,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BOr1A1B1C__bin_20,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
CRr1A1B1C__bin_138,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr2D2E2F__bin_130,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MGr2D2E2F__bin_99,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
MGr3G3H3I__bin_82,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr1A1B1C__bin_44,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
CRr1A1B1C__bin_41,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr2D2E2F__bin_71,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
SEr2D2E2F__bin_110,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
SEr3G3H3I__bin_77,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr1A1B1C__bin_108,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,
LASYr2D2E2F__bin_101,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,
MGr3G3H3I__bin_152,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
LABRr1A1B1C__bin_37,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,U87765
LASCr2D2E2F__bin_57,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,U87765
MGr1A1B1C__bin_74,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,U87765
BAr1A1B1C__bin_6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,U87765
MGr2D2E2F__bin_124,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,U87765
MHr2D2E2F__bin_129,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter
BAr2D2E2F__bin_51,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
MGr2D2E2F__bin_116,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LAWAr2D2E2F__bin_105,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASAr3G3H3I__bin_82,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
MHr2D2E2F__bin_20,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
MHr3G3H3I__bin_105,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
CRr2D2E2F__bin_117,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
MHr1A1B1C__bin_88,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BAr1A1B1C__bin_68,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
CRr1A1B1C__bin_78,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BAr1A1B1C__bin_116,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASAr3G3H3I__bin_142,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BOr2D2E2F__bin_66,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BOr1A1B1C__bin_7,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASCr2D2E2F__bin_91,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASYr2D2E2F__bin_28,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BOr3G3H3I__bin_3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
SEr2D2E2F__bin_67,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASCr2D2E2F__bin_140,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LAWAr2D2E2F__bin_146,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
SEr3G3H3I__bin_176,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
MGr1A1B1C__bin_113,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
MGr2D2E2F__bin_115,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LAWAr2D2E2F__bin_62,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASCr2D2E2F__bin_16,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
SEr3G3H3I__bin_11,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
LASCr2D2E2F__bin_66,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium
SEr3G3H3I__bin_267,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium
LASAr3G3H3I__bin_105,Bacteria,Pseudomonadota,Alphaproteobacteria,,,
MGr3G3H3I__bin_160,Bacteria,Pseudomonadota,Alphaproteobacteria,,,
MHr2D2E2F__bin_5,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,
MGr3G3H3I__bin_138,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,
SEr3G3H3I__bin_86,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,
CRr3G3H3I__bin_61,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,
BAr1A1B1C__bin_32,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,
CRr1A1B1C__bin_98,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,
BOr1A1B1C__bin_72,Bacteria,Myxococcota,Myxococcia,Myxococcales,JAKAPL01,
BOr2D2E2F__bin_26,Bacteria,Myxococcota,Myxococcia,Myxococcales,JAKAPL01,
BOr1A1B1C__bin_84,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
BOr2D2E2F__bin_32,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
CRr3G3H3I__bin_127,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
MHr3G3H3I__bin_84,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
CRr1A1B1C__bin_136,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
MHr1A1B1C__bin_33,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
BAr1A1B1C__bin_58,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,
BAr3G3H3I__bin_79,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150
MHr1A1B1C__bin_52,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,
BAr1A1B1C__bin_25,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,
CRr1A1B1C__bin_81,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,
LABRr1A1B1C__bin_19,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1137
MGr1A1B1C__bin_119,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1137
MHr2D2E2F__bin_120,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
MHr2D2E2F__bin_85,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
BAr2D2E2F__bin_11,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
SEr2D2E2F__bin_85,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
LAWAr2D2E2F__bin_67,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
MHr1A1B1C__bin_68,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
SEr3G3H3I__bin_121,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
BOr1A1B1C__bin_78,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
CRr3G3H3I__bin_90,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
BOr2D2E2F__bin_44,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
LASCr2D2E2F__bin_131,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
LAWAr2D2E2F__bin_19,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
SEr3G3H3I__bin_7,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
BOr3G3H3I__bin_33,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
MHr2D2E2F__bin_126,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
LASAr3G3H3I__bin_44,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,JAFAHS01
LASYr2D2E2F__bin_91,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,JAFAHS01
BAr3G3H3I__bin_20,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
SEr3G3H3I__bin_28,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
LAWAr2D2E2F__bin_98,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
MHr3G3H3I__bin_61,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
CRr1A1B1C__bin_20,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
MHr1A1B1C__bin_48,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
LAWAr2D2E2F__bin_30,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
MGr3G3H3I__bin_77,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,
MGr1A1B1C__bin_22,Bacteria,c__BSN033,o__BSN033,f__UBA1163,g__UBA1163,s__
MGr2D2E2F__bin_12,Bacteria,c__BSN033,o__BSN033,f__UBA1163,g__UBA1163,s__
MGr3G3H3I__bin_76,Bacteria,c__BSN033,o__BSN033,f__UBA1163,g__UBA1163,s__
MGr1A1B1C__bin_121,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA2185,Fen-1135
MGr2D2E2F__bin_107,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA2185,Fen-1135
SEr3G3H3I__bin_216,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
BAr1A1B1C__bin_65,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
LASCr2D2E2F__bin_147,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
CRr2D2E2F__bin_102,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
MGr1A1B1C__bin_114,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
MGr1A1B1C__bin_105,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
MGr3G3H3I__bin_122,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
MGr2D2E2F__bin_9,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella
CRr2D2E2F__bin_51,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,CAJBEZ01
CRr1A1B1C__bin_61,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,CAJBEZ01
MHr1A1B1C__bin_14,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,CAJBEZ01
SEr2D2E2F__bin_130,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,CAJBEZ01
SEr3G3H3I__bin_282,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,CAJBEZ01
LABRr1A1B1C__bin_124,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,
MGr2D2E2F__bin_53,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,
LAWAr2D2E2F__bin_138,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,
MHr3G3H3I__bin_31,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,
LASCr2D2E2F__bin_65,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,
MGr2D2E2F__bin_117,Bacteria,Desulfobacterota,Desulfomonilia,UBA1062,UBA1062,MWEI01
LAWAr2D2E2F__bin_69,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LABRr1A1B1C__bin_40,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
SEr3G3H3I__bin_140,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LABRr1A1B1C__bin_118,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
MGr1A1B1C__bin_16,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
MGr2D2E2F__bin_127,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
CRr2D2E2F__bin_95,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
CRr1A1B1C__bin_77,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
MHr1A1B1C__bin_112,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
BAr1A1B1C__bin_136,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
BAr2D2E2F__bin_106,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
BOr3G3H3I__bin_93,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LASYr2D2E2F__bin_65,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LASCr2D2E2F__bin_105,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
BOr2D2E2F__bin_19,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
SEr3G3H3I__bin_180,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LABRr1A1B1C__bin_32,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
MGr1A1B1C__bin_57,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
CRr3G3H3I__bin_20,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
MHr1A1B1C__bin_79,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
MHr3G3H3I__bin_39,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LABRr1A1B1C__bin_96,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,
BAr1A1B1C__bin_48,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
LABRr1A1B1C__bin_15,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MHr1A1B1C__bin_28,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr1A1B1C__bin_67,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
LABRr1A1B1C__bin_108,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
BAr1A1B1C__bin_78,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MGr1A1B1C__bin_23,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MHr3G3H3I__bin_37,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr2D2E2F__bin_5,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MGr2D2E2F__bin_55,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr3G3H3I__bin_27,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
LAWAr2D2E2F__bin_103,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MHr2D2E2F__bin_75,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MGr3G3H3I__bin_4,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr1A1B1C__bin_103,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr2D2E2F__bin_94,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MHr1A1B1C__bin_43,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MGr1A1B1C__bin_112,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
LASCr2D2E2F__bin_51,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
MHr3G3H3I__bin_4,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
BOr1A1B1C__bin_60,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
SEr3G3H3I__bin_174,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
BAr1A1B1C__bin_8,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
BOr2D2E2F__bin_46,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
LASAr3G3H3I__bin_32,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
SEr2D2E2F__bin_135,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr3G3H3I__bin_135,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
