SampleID,site,treatment,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26,Axis.27,Axis.28,Axis.29,Axis.30,Axis.31,Axis.32,Axis.33,Axis.34,Axis.35,Axis.36,Axis.37,Axis.38,Axis.39,Axis.40,Axis.41,Axis.42,Axis.43,Axis.44,Axis.45,Axis.46,index
BAr1A,Balmoral,NAT,0.007140210439774644,0.19355679313680674,0.033953401527226514,-0.020085369453647892,-0.24377214492775884,-0.07974511928429957,-0.2829831794545278,0.07283296889671624,-0.09220161341828885,0.07270306717977214,-0.03347134176187762,-0.03284145363941576,0.10891263511152326,0.14193252866441103,0.03739134892957292,-0.09770781913682396,0.15883404640410534,-0.1256451517687908,0.0754358348934293,-0.05870764772292055,0.021870327339756666,-0.005877873974027833,0.011732109692490455,-0.011365388525852194,-0.019930487596911982,0.061058217328569406,0.012930951827729832,-0.01939824173888912,0.025634809399237107,0.001612813132054374,0.0028650593557864577,0.0078733545920681,-7.179482536198368e-4,-0.0013352083403889502,-0.027335290466554946,0.009094453989156604,0.048057076139066665,0.002934482710379901,-0.004852737715221292,0.009568489559769305,0.002151230265371925,0.0020252719826516605,0.0025205953098121356,-8.516797252013353e-4,0.008077590477550968,0.002225514812433736,-0.872388753
BAr1B,Balmoral,NAT,-0.06449805502981625,0.09369296741192883,0.07084953001160842,0.12658266666567308,-0.12319930513449055,-0.046406112627564826,-0.33764357542090173,0.17997988964466716,-0.02816322625465203,0.013624143454938169,-0.026313010468887746,0.0539543805418627,-0.043745750578949506,-0.001971324566484378,0.010498722046368118,-0.031717754563997835,-0.0888702745785104,0.050282616139868765,-0.0038278119949654646,-0.026196072582956875,-0.042415165949251335,0.039722307030510426,-0.0564426881648634,0.04906886527908661,-0.016344324514230724,-0.0645041782882819,-0.03793799368792679,-0.050432080271701644,-0.004302576474220698,0.03453803331447827,-0.0525276132355117,-0.056038922886924095,-0.02537764703220748,-0.002435833498279211,0.025497213150203705,-0.010108226900669705,0.015898826857910105,-0.0051588719695350544,-0.00922544102385915,-0.01832355278674524,0.0014409821582856554,-0.0030226271916241423,-0.003967242330961194,-0.001206324575357102,0.005928347120011111,-0.006508267184845585,-0.320731707
BAr1C,Balmoral,NAT,0.048464731533526074,0.23972982086020478,-0.024109697614897008,0.14795764392166547,-0.15841780111325504,-0.05731492865176432,-0.26067745284643473,0.15369331360872812,-0.018957334143388006,0.012629019935652176,-0.11111829694910304,-0.048721797412660986,-0.07970735528701473,-0.03113499649146011,-0.03629406277990113,-0.1309629005529842,0.014456087910554662,0.007506587862947107,0.03159122833271776,-0.05746381951530516,-0.04798602273757814,0.08719471956327117,-0.04024841854294698,-0.08144293403686316,0.004766550363738951,-0.04863891613067253,-0.003588617782574527,0.044081715872650744,-0.028995593956290127,-0.023080758191978093,-0.008623205902020158,0.0465056644177143,0.016343799682430712,0.011012970459191805,-7.314123414851404e-6,-0.006024906103269355,-0.04152975419317512,0.00952352889736888,0.008146081481818388,8.684415885983736e-4,0.001559512898378996,-0.010632306596769121,-6.707480684229223e-4,0.0028003178043877835,-0.007226809938871773,0.006224828627588905,0.089770005
BAr2D,Balmoral,REST,0.2597232707992906,0.11279392437224812,-0.4671077687215527,-0.05547807380998212,0.03802455365428451,-0.036806432613387986,-0.02814462090842302,0.06629548864315127,0.10296675560270685,0.07863998493043244,-0.20646033091238505,0.05090192286941612,0.0011568996582399472,-0.05705171015273735,0.04529544752927781,0.24462804119736475,-0.05252605990817677,-0.11398935250440541,-3.332560446928839e-4,-0.005688488302895293,-0.005276882297087307,0.10376124853329843,0.015162096057182316,-0.026843652260638496,-0.021278633037047315,0.054385752938849806,0.002363088713558489,0.004331241517374201,-0.008259591152719853,-0.01358161654288751,-4.6442153410432415e-4,0.012090953787188115,0.010008008695624335,-0.009522320231124905,0.02070399295312665,-0.012858098809390739,0.008510079611112538,0.01738858569433243,0.002844365336919463,0.0012303142358922577,-8.063377451660366e-4,0.0019793082381265735,-0.004150199168677361,-5.039340275910912e-4,9.647050392436601e-4,-0.0036181412959970763,-0.861788205
BAr2E,Balmoral,REST,0.08127189378674567,0.2501706449820627,-0.11889847729264538,-0.057740698090713735,-0.07651190435573672,0.07815563010265505,-0.15524991707309244,0.22795266161562466,0.24202655389135969,0.01913468488760847,-9.566300768885121e-4,0.03223264341101474,-0.14724673919136316,0.09791843770599573,0.03440308627381975,0.11474345587820173,0.07737974092173286,-0.03325921029191685,0.0349211923150698,0.05033249347431307,0.0534667735470408,-0.13295928152879571,-0.005940074084630879,0.0488568510292627,0.07763682824640532,-0.04262406458522285,-0.0070705339987282585,0.026588942009512725,0.033672542097953256,-0.0038818594707040466,-0.009417179465228923,-0.018134883462357056,0.002738067125217874,-0.005061732445265964,-0.002300049309746662,-0.004622963646586135,-0.025546923345444474,-0.015372877773972383,0.007587850412733091,-0.009024295688229572,2.141975007641671e-4,0.0014199933560615123,0.004037967919732434,0.0014378405622652776,-9.912762426025545e-4,0.004272345814676393,-0.43882699
BAr2F,Balmoral,REST,0.14689433584089398,0.20037918284673553,-0.09665265124767425,0.0887823006149048,-0.05837721956327101,0.09058110820191592,-0.21171203282411627,0.20171690993639715,0.10107206069720748,0.013814869707237413,0.10290124007644696,0.05827115475168989,-0.12333001980648332,-0.06932572633504444,0.008018200960067133,-0.02461296336043271,-0.04110162877020598,0.12790973738004371,-0.12672853044845908,-0.05566007053966549,0.006485771389150969,-0.027834751664313578,0.05553459843460223,0.03497519271396415,-0.05900433825856064,0.0832001763008269,0.05597859405365396,-0.04287116795078385,-0.015764526894729975,-0.005694897044136047,0.037346010702925266,0.03460233809371832,0.014731605118419701,-0.005723614628039538,-0.009403157833175274,0.01461522219041834,0.0076956648253531925,-0.009362747022226022,-0.006978364770466282,0.011137178675593846,-0.0052932604947188815,0.001882011237372004,-5.719896164275848e-4,3.206199377431379e-4,0.003058083669443106,0.0019518210596178355,-0.325096378
BAr3G,Balmoral,DAM,0.26860350394102184,0.06585278627060653,-0.5857292800053581,-0.117581902025687,0.025227634668639937,-0.04278818314893085,-0.07882223719858271,-0.19653961565064776,-0.0769310194411856,-0.09535840661372447,0.10483492247657024,-0.017549746164379255,-0.020981301002198607,0.01935061600228166,-0.02151181568847824,-0.06682294651878745,-0.0018010106429018214,0.016806019404157414,0.002669019421311397,0.012837328432873756,-2.1807465158676055e-4,-0.018090952444057045,0.011271420131249847,-0.0014954200201633767,0.011349637417183549,-0.004096806639977468,-0.0016030811984490841,-0.0133912593063606,5.543587171388133e-4,-0.025369829731231426,-0.015519994693941042,-0.017417393316440485,0.01758775502895038,-0.015065613264837293,0.00440126431000639,-0.013645420782951372,0.004652350433765348,0.034151739919698484,0.032324739450462776,-0.01811997288869869,0.029904906854220408,0.005634561635879058,-0.01159606373707083,-0.006327269285723026,-0.009133053957993312,0.0041476762701911475,-0.755040527
BAr3H,Balmoral,DAM,0.28629076820171084,0.055800777040171334,-0.5924894389621209,-0.11987084350655415,0.024929351468878775,-0.03551229582432599,-0.09022353960782459,-0.17222676776882703,-0.07005487935006309,-0.0524298856240366,0.07578222703025335,-0.006222586507108904,-0.009166603647703452,0.02281127866579593,-0.004188242450659455,-0.027612336856877067,0.01884356882775371,-0.00879805800826235,-0.006204200404392509,0.013387601965087021,0.002140608580482849,-0.03318581896498603,-0.007880060258015596,-0.0029092153776407574,0.0036746406373611338,-0.03954556900661401,0.020592884944112388,0.002245584011924643,0.0010816442269599381,0.016858916271181662,-0.008431764622931602,9.118623624555924e-4,-0.0233642101114901,-0.007143488897054687,0.002364214309330264,-0.02332094253143944,-0.002582357824055434,0.007315402369571269,-0.04588726715495793,0.02566082959482991,-0.029276802299323813,-0.023142548300610365,0.002879784559480997,0.019634937197341818,0.001177470070719307,1.754128149832406e-4,-0.83161314
BAr3I,Balmoral,DAM,0.2836420446846977,0.07378694809540749,-0.5752401349740909,-0.07874129072384563,0.032685065983410394,-0.03917443472583814,-0.07042235770320722,-0.17486425026597108,-0.05426815351744203,-0.051519885286929926,0.053711042888198536,-0.005619787732423934,-0.03309524834981577,-0.014681623596411635,-0.014753916801932129,-0.031679143726198046,-0.010379468214521174,0.024365897124304748,0.017871575040190536,0.0021246954469120454,-0.022108774372456137,0.016103025295611587,-0.015647460680121315,0.02912364060483617,-0.005530330502493493,0.013303462539659564,-0.03828306740002496,0.015980800290102504,0.0019480380591211724,0.005266417091712217,0.013566044571216145,0.0010098171827869773,-0.003156978654462269,0.026231390787311043,-0.00895605375204029,0.037494415335103844,-0.009239680376872304,-0.051497745488659825,0.014121996852488236,-0.002221688410628119,-0.0013140879508339118,0.021018150240580354,0.009835127896732949,-0.014125850770409712,0.007567418143639646,-0.0050423878921624764,-1.497950267
BOr1A,Bowness,NAT,0.36513480014513283,-0.0285006828032034,0.2195016848842894,0.047289974210730376,0.08736297874599544,-0.140355759449381,-0.058253216282941785,0.11813933394362706,-0.15764068631421682,-0.05234444361817194,0.03393904275056773,-0.006514703803691908,-0.07063556582659547,0.03407987127214418,-0.03332920044039476,0.05868071355756827,0.0403787209482082,0.044172489570620754,0.022684902914358505,0.10971291588591055,-0.016393918868085038,-0.007053205321451202,-0.057460414944998144,-0.0018208221805796523,-0.07077358528720652,0.04144521257429201,-0.03690390679267289,0.0650020557318309,0.010719534780925109,0.01168057051155485,0.03811502498801682,-0.016637996446676493,0.009015270106842294,-0.0292105011069725,0.011652842250825371,0.03459698473274231,0.0018702594145859743,0.016891770695231213,0.016343774102164643,0.006081185930803722,0.007732272963083039,-0.03063126227737747,0.0019934825201894076,-1.0804762510438754e-4,-0.01103476561977233,-0.00814473037596918,0.066541715
