Virus,baseMean,estimate,stderror,statistic,p.value,p.adjusted,site
CRr3G3H3I_vRhyme_bin_11,281.7248838912581,-1.4782377072238795,0.9040505639176983,2.609643114953613,0.27122092807453285,0.35710344215090906,Moor House
SEr3G3H3I_vRhyme_unbinned_294,13.425906896608502,1.1373079272332913,0.6700105154790836,2.9248431706870406,0.23167457514686557,0.31447758934100795,Moor House
MHr1A1B1C_vRhyme_bin_2,1620.2881341441903,-3.620269772472352,0.6924961566219093,30.021593707921397,3.026173036563998e-7,2.703007644387719e-6,Moor House
CRr1A1B1C_vRhyme_unbinned_17,2763.2680573921325,-7.518262321642228,0.8638076526691387,45.62110155134394,1.24023410266354e-10,2.330673696823562e-9,Moor House
SEr3G3H3I_vRhyme_unbinned_26,4.206423686117351,0.6669877578780488,0.9610099398804636,0.6548744346914575,0.7207685416172157,0.785947309510257,Moor House
SEr2D2E2F_vRhyme_unbinned_176,11.344006791579494,-2.530100475698417,1.0653603902846713,6.09907094772101,0.04738092895991197,0.07916882702655037,Moor House
SEr3G3H3I_vRhyme_unbinned_291,15.288036808495617,0.27468245638512295,0.6281637999552561,2.045897706285693,0.35953316492949594,0.449261217316909,Moor House
LASCr2D2E2F_vRhyme_unbinned_43,315.2519594477778,0.5421130726893395,0.8969450088009852,3.538626431021882,0.1704500110600379,0.24444119524665495,Moor House
LAWAr2D2E2F_vRhyme_unbinned_28,52.731559288093734,-2.6071664181596508,1.0619316339409686,16.469125959409567,2.653229009191773e-4,9.318500913350716e-4,Moor House
BAr2D2E2F_vRhyme_bin_14,39.49585707598256,-0.28246671841388493,0.6485019337337344,0.2524025959923506,0.8814373973420678,0.9084329871467037,Moor House
MHr3G3H3I_vRhyme_unbinned_9,169.86560932307242,-0.061169865535766005,1.145186379190187,16.02030431132586,3.3207418817152076e-4,0.0011174682564748617,Moor House
CRr2D2E2F_vRhyme_bin_12,740.5593288302442,-4.472685157636509,0.8746253566861116,28.70145268693379,5.855429248370409e-7,4.733411241559767e-6,Moor House
LASYr2D2E2F_vRhyme_unbinned_28,34.98953409634428,0.012206569040347209,1.067352026879366,6.249172605532252,0.04395511397163293,0.07456395066465751,Moor House
MGr2D2E2F_vRhyme_unbinned_3,13.437589854360855,0.5793547737587096,0.6741799970712028,1.1648239706923036,0.558549527254164,0.6465114041258799,Moor House
LABRr1A1B1C_vRhyme_unbinned_60,6.352106986332021,3.4362752129260334,2.0392452532739362,6.436367587277843,0.04002769082952546,0.06895246265514683,Moor House
MHr3G3H3I_vRhyme_unbinned_43,299.9187904776146,0.5322328431638431,1.012502753018536,10.165150022973677,0.006203913282217027,0.01333887447157212,Moor House
SEr3G3H3I_vRhyme_unbinned_276,61.55072549592013,-2.606462151815626,1.074794913975998,12.960981845230862,0.0015330578817719849,0.004085331040375805,Moor House
LASCr2D2E2F_vRhyme_unbinned_105,1111.402914373682,0.9803925981432421,1.053281201822175,19.12322899221408,7.03790801368632e-5,3.0399560882997325e-4,Moor House
MGr3G3H3I_vRhyme_unbinned_38,37.22695461603134,4.836661963923482,0.8088754550076048,62.430615197995735,2.7756465274272462e-14,1.0298360320992884e-12,Moor House
LAWAr2D2E2F_vRhyme_unbinned_38,222.55605580816066,2.530231697502835,1.0249151591555046,13.761711934298816,0.0010272643641899234,0.0029146108529074888,Moor House
SEr3G3H3I_vRhyme_bin_12,235.5679130869558,0.757070181554794,0.6866033293418348,1.4918946030830398,0.47428479634710485,0.5681209439687589,Moor House
SEr3G3H3I_vRhyme_unbinned_4,780.077774767563,-0.6342054739205458,0.8259335806461218,0.9715043759364903,0.6152342508737885,0.6987786193205432,Moor House
CRr2D2E2F_vRhyme_unbinned_62,271.69444127750853,-1.5728974653254084,0.8957181907970442,3.315168850613418,0.1905988301875751,0.2695958037941556,Moor House
BAr1A1B1C_vRhyme_unbinned_54,38.875573513217,-3.0275343501059773,0.8029677172495026,14.400294228119733,7.464759831859831e-4,0.002231716420806028,Moor House
CRr3G3H3I_vRhyme_unbinned_25,73.31750289818245,-4.354003221231606,1.0518455225845607,14.89560121384443,5.827218381947804e-4,0.0018094388409181273,Moor House
MGr2D2E2F_vRhyme_unbinned_73,19.16311171040161,0.7211053278444782,0.8251954809262353,12.814848517998485,0.0016492671207256023,0.004331196957695003,Moor House
SEr3G3H3I_vRhyme_unbinned_191,56.4838374100912,-2.402833602936048,0.7467287397600156,10.326774538181994,0.005722283905579122,0.01243264986692641,Moor House
MHr2D2E2F_vRhyme_unbinned_18,632.4402916359212,3.2427032311207027,1.093350914102392,33.34500550746294,5.744127279690389e-8,5.979677822814383e-7,Moor House
SEr3G3H3I_vRhyme_unbinned_251,409.0466545311482,2.440891102304358,1.4042962212655743,23.01056670718222,1.0076713868402111e-5,5.832401987031142e-5,Moor House
BAr1A1B1C_vRhyme_unbinned_66,8.171410944626192,2.5203621136523164,0.7685177542285355,11.598358146798788,0.003030041166045882,0.007211298630375645,Moor House
MHr3G3H3I_vRhyme_unbinned_27,184.4525852004607,-2.737069784314915,0.9387102896084896,24.45673466765942,4.889760007857043e-6,3.062979537389239e-5,Moor House
MGr3G3H3I_vRhyme_unbinned_57,20.223458694620472,3.0253046145455786,0.9444228876287377,16.884486053967606,2.1556608705093755e-4,7.817647317361068e-4,Moor House
BOr3G3H3I_vRhyme_unbinned_9,112.85715114629394,0.15354158192278217,0.812147906024819,0.09085191148329841,0.9555903559316742,0.964395426883146,Moor House
SEr2D2E2F_vRhyme_unbinned_152,3.0142321165231016,-0.017658312701391683,1.2474188803234854,4.735058299927822,0.09371198872371067,0.1456511790367447,Moor House
LASAr3G3H3I_vRhyme_unbinned_24,89.54816376015602,-0.9705795426363675,1.0811073952396686,4.726677615809493,0.0941054979047425,0.1459919259713004,Moor House
SEr3G3H3I_vRhyme_unbinned_136,1109.1958738400256,3.234291732057214,0.6856959101507507,42.983164268299745,4.637933013651443e-10,8.085649482835707e-9,Moor House
SEr3G3H3I_vRhyme_unbinned_93,405.49993773171104,2.4308175800077265,1.331693496979543,26.076823921547458,2.1751521088321526e-6,1.513194760326983e-5,Moor House
SEr3G3H3I_vRhyme_unbinned_215,2.176617527475886,2.0630407733736558,1.153212124832193,6.51563152201809,0.03847233909361507,0.06667002954306707,Moor House
