SampleID,site,treatment,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26,Axis.27,Axis.28,Axis.29,Axis.30,Axis.31,Axis.32,Axis.33,Axis.34,Axis.35,Axis.36,Axis.37,Axis.38,Axis.39,Axis.40,Axis.41,Axis.42,Axis.43,Axis.44,Axis.45,Axis.46,Axis.47,Axis.48,Axis.49,Axis.50,Axis.51,Axis.52,Axis.53
BAr1A,Balmoral,NAT,0.04371290998077687,0.18451481508730763,-0.1504119601605067,-0.14188699199743982,0.17930176448079743,-0.2742285275176201,-0.16270741653841148,0.1506712345299229,-0.08353138847110289,-0.017416835313401192,-0.07970215845053392,-0.006995790588885712,-0.029772117539452313,-0.03737623769518009,0.08308012869697821,0.003988271168527754,-0.03216564368950751,-0.16324648617592813,0.08465762262571752,-0.006826711974754108,-0.040426377467071326,-0.0796983302024054,0.12950413355701224,0.02061796829579276,-0.03235097280589623,0.00194246523936635,0.013201229553514627,0.03260202285109244,-0.012354882089721232,0.09837891503533436,0.005756205640119053,0.01270432647502388,0.011119692947885881,0.005186469749927258,0.06442921437850664,0.03593386507381223,-0.005464107505790345,-0.028595866938712137,-0.013354242803893307,-6.417938090675595e-4,0.006366142697333158,-0.01015781524079247,-0.007973550015095419,-5.049305216272281e-4,-0.017818745089795023,0.0011479084403776508,0.005528661546066145,0.002071864315707215,0.00755054944058938,-0.0012473031791543846,-0.002769626569031157,-7.203043870290957e-4,0.0019571447912502746
BAr1B,Balmoral,NAT,0.12509203565051596,0.11290333041747867,-0.013559112217008612,-0.1577781350196692,0.0875021549764864,-0.26348402202531523,-0.13622058532823503,0.119259290028474,-0.07223969723553383,-0.08836204776268326,-0.08606746911942582,-0.08600331963736949,-0.032425120110610835,0.007773963476065929,0.10183264751875346,0.07575522926370644,-0.038832126569337926,0.16077021595163057,0.07672092738503397,0.02542874418381441,-0.055902506356690584,-0.03878546744655232,-0.040113683366375316,-0.020087403963017038,-0.11465128307023524,-0.047960509082691616,0.01674629543290613,-0.05432608777534767,0.0053939688942752795,-0.015496355688129388,0.0016966003787893316,-0.013203056124893553,-0.027501377778654884,0.020463424723028388,0.002695020343997844,-0.014671486874494119,-0.025223170347700233,0.056399092450393554,0.045264505607205414,-0.012279706888559064,-0.007705516181155366,-0.025383289472161265,0.004064383379394704,-0.010244667214835957,-1.6791194273106465e-4,0.003114218048088323,0.006133356760096738,-0.009123581216349048,-0.003548268435889298,-0.0012279022022539479,0.0012940893292567898,0.002410402511258266,-0.006121613666031584
BAr1C,Balmoral,NAT,0.07573731344380819,0.19005564672165104,-0.11998813550406026,-0.21585860851141994,0.15009436182816857,-0.22669521579940308,-0.15673277691176302,0.16475746337583327,-0.0814889794914857,0.047671640383017785,-0.05267125656765815,-0.00805600289428286,-0.07316803951837475,-0.06072546919861487,0.14480213425383828,0.019016483892178804,0.02586843497554619,0.08929711581688554,0.0379567646828222,-5.975661091692658e-4,0.046268284027955846,-0.08112790348854235,-0.06728402454884629,0.10037378924527038,0.05237388331309923,0.04804896869677359,-0.04345406276707721,-0.023326743324408795,0.004533032242962134,-0.06933276981359829,-0.0028721247541069984,-0.035424842172922105,0.03315381921980057,-0.027958968137453633,-0.04671875641732727,-0.02520317313717414,0.020087790952807747,-0.039508018977321493,-0.03197433999269515,0.016484446181033192,0.00938763826561754,0.0312965521379561,0.007248151749365604,0.012302351706261547,0.005476649468123154,-0.004697282948256344,-0.008263842694568,0.0076904082096669185,-6.555739262722505e-4,-0.0019766555087891127,0.0025412649020443213,-0.004020025708394922,0.0059884358772453496
BAr2D,Balmoral,REST,-0.13431733643550228,0.04146957448223048,-0.3735914403117151,-0.11933175946066021,-0.21928546237861543,-0.058651472833950336,-0.05571750311188631,0.23229497875723426,0.0043404419507960595,0.07247051805078684,0.042859462169104995,0.34552591579643965,0.12403993064534881,0.07369791155619405,-0.29784020548648726,-0.016792224885659825,-0.06706393650712238,0.10049402887331553,0.011989866975391388,-0.005888783353860349,0.015512244109345952,-0.0682122389163804,-0.03354708387051759,0.0027278288301968477,-0.042840452114907925,0.011460465812667324,-0.042202432320796464,0.009140842026997201,0.018518788465977005,0.011741807874003946,0.014842333610897063,0.005151432817175658,0.01961923740546804,0.01304262915421087,0.01779615634143583,0.002354290150793577,0.004677973748613128,-0.006763775301163093,-0.002362348757331136,-0.004396227058815479,0.0027850425806967127,-0.004936832968808475,-0.0022363854701080254,-0.0029488926458873964,-0.003930903252293119,4.445502840021293e-4,0.0042457345687607825,0.0013565109307727033,-7.139324927193241e-4,0.0026073405470082274,0.0011440678619331537,-9.344756877809118e-4,-0.0010763476623409465
BAr2E,Balmoral,REST,0.043617721134216594,0.20493268748138913,-0.2463768290436728,-0.094538190578444245,0.020365700993394582,-0.2645555622711134,0.016570817019131857,0.25245746246671974,0.12979574827367008,0.02370931946593638,0.04270235317600645,0.1088994264050486,0.07984357013007831,0.05171811509502896,0.0404960855853579,-0.009429672590242038,0.02741909105500063,-0.12657876257999068,-0.10257384477511546,0.05038000129017419,-0.048340239434904515,0.05031350514674804,0.14059424931195244,-0.0565509813305267,0.06061536906148373,0.024545784893279302,0.030720221776937513,-0.036982487339715944,0.0373335662168972,-0.06989838087398746,-0.006975530783224135,-0.008079249902625723,-0.003547635844341941,-0.01238489564774113,-0.05116890044747848,-0.011896637772066692,-0.020559143320674194,0.04127028193523805,0.028118243058561337,0.004640270743383113,-0.006978818791167616,0.008751066711082634,0.011992370366428367,0.005560573809007564,0.0027827288410280063,-0.0013919030079099677,-0.004851906757737116,-0.003577445658787296,0.0018178344293277686,0.0031502038077106547,-4.274404182230557e-5,-1.837958240864267e-4,0.0017608137933960728
BAr2F,Balmoral,REST,-0.013456298109508961,0.2256809626752093,-0.1400282698219101,-0.10427357525425586,0.02440819193992583,-0.307262131035722,0.02259119521484322,0.2153166578976576,0.17413061585723175,0.0270078845934561,-0.023722854090030717,-0.027027356909538287,0.06725828188145133,-0.0043958572166790475,0.08271041357541492,-0.04090009765798059,0.07406060763943542,0.027072003532542663,-0.0483364704791044,-0.00813830121063669,0.04315971465172098,0.17952346373686695,-0.15036181988184824,-0.05759866009051072,-0.006948497400467861,-0.05529114454438702,0.017736498125964176,0.0431597976389496,-0.025391940397221778,0.0669416657257972,0.009577004131921394,0.03948900319474561,0.00276292555304198,0.008085522201371919,-0.0018950099152039144,0.017160169932305396,-4.045092251711697e-4,-0.016176051866742848,-0.023983318859279283,0.011260253470070843,0.013757720977978158,0.0011111476286506108,-0.007627010780105006,-0.0013453058058896647,0.006846454810072773,-3.249358061040914e-5,0.002211506712846168,-0.0024619266137268945,-0.0017083287817676427,-0.0044351838814230635,-0.0014009821362037818,8.185964822714298e-4,-6.090747727211537e-4
BAr3G,Balmoral,DAM,-0.27847650536427354,-0.10834973613542194,-0.4495678977164878,-0.1405784420829371,-0.33266893352851207,0.05796270370523965,-0.12811532916875265,-0.22982091498631288,0.0096618656010648,-0.024245079878637693,0.01948184445334606,-0.11512990100749652,0.022096968309853204,-0.0464513671675821,0.06402304668682876,0.04287421870215715,0.045815063739836875,-0.048082062757744876,0.009228037519361356,0.010301719075735726,0.01862282499038454,0.015044720267703345,0.02656164446508561,-0.017940587389219532,-0.015046658350770717,-0.0018177813393012918,-0.06640431270069767,-0.04797520336247468,0.007374654744284577,-0.01972986596034832,0.00835047734195815,0.07022979500116018,0.04879820436480528,0.05912283472668356,0.010174816099229232,-0.04075347207317717,-0.001090631746496122,-0.008135806385096962,-0.017357313531640384,-0.011013588609429453,0.003200504711104585,0.013004726418079093,0.03012792623974469,-0.00352490670805182,-0.005436512799210477,-0.004875156170090216,-0.005739434115626713,-0.014819511895545156,-0.0026102213572688285,0.014493973924589778,-0.00762419271180882,0.006453590193322218,-0.0041719074053271354
BAr3H,Balmoral,DAM,-0.27675498765315015,-0.10101384730207846,-0.47479798591483646,-0.14268200125054417,-0.33689621913015344,0.06557983581425629,-0.12057223766473271,-0.20843963416743416,-0.018806122204666233,-0.010319052029890934,0.008397431777886278,-0.09764797615137888,0.018233730852304106,-0.03472899534804888,0.04181982782987106,0.010061825769879868,0.012867678780668225,-0.006375947790964251,0.01310488663502192,0.0034088742780522766,0.012772524082142106,0.007715442538450491,0.019350050024367856,-0.029319745445135163,-0.0013470975693008335,-0.0035344925129626704,-0.03219400929799186,0.04210857725990394,0.024577495772973017,-5.584505160230307e-4,-0.025308368172078922,-0.005705956205027211,0.005123240634455859,-0.020450779677302723,-0.032738875772457335,0.002097942012079594,0.007850453741467074,-0.023562276107717658,0.04771740892588999,0.028161339161550388,0.002579417896628056,-0.028988023253973934,-0.044743031916463734,0.011692661909314787,0.004066591220898577,0.0053549684084355275,0.028235707542777367,0.004413656602936049,-0.005484400167253575,-0.013811835532807482,0.013239153859833045,-0.009380395957140804,4.412107299811106e-4
BAr3I,Balmoral,DAM,-0.27826654708551085,-0.09406894794274785,-0.4721343135676073,-0.14916797198791454,-0.35180103644523303,0.043212353695794854,-0.12160430147465709,-0.15167250684158592,-0.017220905680264277,-0.019035137698691865,0.009626784296007945,-0.05212141347139419,0.049261425426308875,-0.03465643779387753,-0.003621848023200554,0.010807571693490572,-1.4347869893664594e-4,0.046195999615461926,-0.016522305094953647,-0.03226786792696595,-0.014000423319324015,0.017338667253102222,-5.154696455473623e-4,0.055336788983097296,0.019365214277967488,-0.0038907139616352502,0.09119098134301787,0.007676234620888466,-0.05191973605231179,0.017299439065850835,0.01856603557585982,-0.07881583681919645,-0.0684254908721339,-0.03727709563177727,0.01698865301149328,0.0421217853226083,-0.013669494972588432,0.02441240944948395,-0.027536645174109125,-0.01811209182762228,-0.008283534733675641,0.019657317824097815,0.017793383921223177,-0.01333820162596213,0.006145614180128763,-4.3266355635763787e-4,-0.024381678739879828,0.01242104310155194,0.008096233001377497,-0.0018990420619747993,-0.0061873691924222395,0.0030892663073963547,0.0034104585867220584
BOr1A,Bowness,NAT,-0.28011999242535424,0.236536528973069,0.21001522491510535,0.017003817805827538,0.014336441192373558,0.015982398073344374,-0.12289307624622345,0.045822369675937724,-0.17952979165162702,-0.0022668863477761218,0.008157925809654935,-0.006854018474343501,0.1100165512066937,-0.05388132484164435,0.06966825906029855,-0.04943066564433404,-0.14807823859990696,0.07544278722725149,-0.06321741300089646,-0.08651341499595874,0.020673249690159413,-0.017258271687956437,0.04178171036812725,-0.08534708934119513,0.05848712439247973,0.00948531105736246,-0.03412733785576749,-0.01702133900559705,-0.08340920611958305,-0.025361104009989532,-0.04779209943728421,0.06566284725000954,-0.01130887467384268,0.02984125813774043,0.014986534114504579,0.02871440252035936,0.02913629344995008,0.03333093823612139,-0.02944128259459838,-0.001887284488677503,-0.009070155556878023,6.450841864607208e-6,0.012852390269174275,-0.0029305667442425906,0.0032334449736358124,-0.0028267438454921317,0.008201933633777619,0.011862457700736137,-0.0072495303796724885,-0.001572197136071269,0.001910476856192179,-0.0014143788559385748,-2.994636383717503e-4
