Genome	BAr1A.filtered Read Count	BAr1B.filtered Read Count	BAr1C.filtered Read Count	BAr2D.filtered Read Count	BAr2E.filtered Read Count	BAr2F.filtered Read Count	BAr3G.filtered Read Count	BAr3H.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
BOr2D2E2F__bin_26	1359	2281	2974	5167	2957	2499	5826	5822	4678	66577	146079	172264	259296	135850	186449	109072	120800	90382	5876	4768	6130	1666	1477	2311	1914	4025	2314	5223	5023	8612	2150	4444	2806	4813	46159	4380	5245	4828	4964	7309	5583	12125	3015	3274	2696	1759	3450	2490	3578	6638	2338	6090	5524	5414	2198	6608	2525	6316	3991	1768	1739	1567	2341	1853	1776	24419
LASYr2D2E2F__bin_82	2179	5437	4062	1774	2578	2287	1896	3062	2358	13229	19252	13417	14820	11015	13196	13272	18612	33237	14929	20765	15677	10519	13888	6204	15264	17297	36299	16922	15904	27109	9415	448564	347048	48214	44944	51241	1626290	753886	137440	109252	561989	233852	38864	78797	34115	25978	41834	30290	35188	84144	6597	12726	21907	16217	30666	705376	489638	400264	35609	51456	23653	12319	4018	472	562	56102
MHr2D2E2F__bin_37	2420	37433	1631	2581	887	2150	670	990	826	6972	883	2086	2378	4002	2471	1127	952	668	4003	22964	17020	11536	26818	18992	26830	3344	10735	1693196	1394864	1148655	4187	8166	5905	103672	24343	24847	1364	1308	1321	1126830	355893	1035796	88136	54194	25251	109412	67909	118891	21283	463301	972693	3634	17779	13635	1495068	480911	794966	7304	637204	17269	1343	1470	1441	542	718	1969919
LASAr3G3H3I__bin_93	34868	59235	28105	7685	24330	25768	3228	4175	3830	66647	98271	170320	246970	245002	245035	14192	21926	51038	11049	16884	19854	41746	54835	19264	43916	29194	30846	42127	37243	107925	318455	675642	98469	756363	550754	444671	100322	29920	206839	971645	179400	254102	42741	27552	22709	41099	74459	51828	47523	226408	274180	10914	13313	15165	84508	49704	63071	24800	50218	43901	37575	7908941	726347	1134645	1633125	7323793
MGr1A1B1C__bin_134	1183	1923	1559	1304	1499	1206	1030	1595	1851	906	3195	11414	1093	975	2017	5490	10789	761	3595	42576	10750	90566	59896	18467	144041	53976	8910	181610	177247	110872	86226	113850	210313	109725	342145	92484	1370	48163	11746	138059	348018	82511	102417	337332	327201	12841	71385	97639	194310	175309	20503	2772	35402	9031	310088	386592	310196	54005	383327	10290	747	791	1143	725	921	211509
MHr2D2E2F__bin_129	3519	6875	4531	2596	4904	7248	12793	13041	11931	4423	6015	6957	6154	4581	5294	9715	9938	12879	2909	4870	4556	5515	5462	5469	7570	5989	8168	6240	5687	10097	17606	37909	44756	5903	14282	6760	17482	11625	12690	26154	13200	13702	5715	9078	12801	2135	9650	11238	8903	14413	12001	2729	5253	4321	508545	365904	190340	8234	45771	8734	3211	2990	5279	15166	22592	27544
BAr3G3H3I__bin_32	17964	1691	9197	100181	11802	21582	138667	163040	244728	4012	4189	3421	3369	3689	5985	3687	5529	4316	359	535	886	157	121	359	355	677	446	521	573	751	4198	3081	3612	546	3436	1038	2343	3355	9598	375	1097	2412	123	827	2157	743	2232	5907	5899	1114	316	583	713	782	314	8000	1132	1083	972	374	734	125	354	229	79	1680
MGr2D2E2F__bin_63	962	11383	1790	816	3804	1331	251	420	305	5405	1989	5569	9680	15039	3412	927	1191	1140	2766	24928	12965	7620	10121	11717	23532	11774	12757	86205	51719	39097	5170	10736	2714	48134	28401	27429	1309	405	3581	75699	5768	64371	89634	82763	43111	111514	236562	114286	107610	278663	417713	3267	17696	10317	28911	11213	8934	5557	34627	22186	56847	35991	8891	101509	68739	256053
BAr1A1B1C__bin_118	91902	526039	1689855	5384	69344	692223	2911	3716	6171	97412	6467	6276	18097	7474	6230	4427	4703	4609	6688	24792	47131	39010	9736	474610	9985	10580	11175	3361	4036	2259	12514	8959	13291	29172	69167	32384	11777	4832	63134	748	2127	2183	2243	13513	8062	7220	4869	11591	9291	4560	830	9652	28209	29556	1422	5642	1220	10415	1373	8751	2479	831	1691	1194	859	10813
LASYr2D2E2F__bin_91	5901	5930	5246	4313	18379	7460	4223	6401	4837	7908	9051	8425	8531	6116	7600	17175	14120	9015	7391	7198	7266	12764	19069	7353	3955	6317	4776	6897	5664	7825	161214	237797	489378	26405	29294	19192	176728	923491	222623	32673	66940	20945	726	2062	2268	772	1467	1694	4167	4972	3066	7298	6633	5328	17667	104563	104364	96981	77770	3741	4769	7967	12453	5482	9010	24139
BAr2D2E2F__bin_125	4356	965	2498	208521	51773	16718	16859	18050	44084	746	1356	1470	668	371	1288	4454	4348	9382	7407	1516	3011	211	1018	7139	1320	14778	18417	269	228	958	223	315	324	991	3782	932	487	2030	675	209	571	116	1301	925	932	1329	110	2161	263	1339	217	8072	2358	3287	171	887	377	1180	5856	10824	5692	299	2682	491	316	4316
LABRr1A1B1C__bin_29	979	529	703	436	1148	367	192	404	274	503	256	373	344	334	356	223	262	269	741	505	635	477	993	347	458	632	574	26772	16384	46511	712	1074	1992	2180	1843	1423	946	736	517	2201	1940	2175	1335	1101	899	1583	1143	815	915	2773	876	708	450	549	1983	2578	2857	1725	1226	466	480	561	443	982	1055	82555
MHr3G3H3I__bin_100	5153	11303	8158	8850	7527	11685	4348	5107	6413	21641	17654	28017	24949	12223	18453	21888	22160	22921	5536	7828	7494	4774	6621	5035	6024	6924	5725	85238	82937	265372	36792	64827	36667	31791	84116	36645	25965	25302	18759	335822	243138	524281	19333	17977	11287	10665	30638	61563	16300	33378	41501	5366	7984	6463	270298	182197	140214	138755	595049	5021	4151	2684	4562	2500	3506	475554
SEr2D2E2F__bin_78	9934	9630	12250	992	7236	3214	1015	1527	1143	5539	6222	6801	9725	6743	6177	2018	2803	4910	12875	55585	43985	9168	8716	21481	48151	23549	19667	20486	14775	4859	5287	9822	2687	29671	14639	14658	1851	1450	4479	58684	43684	56792	14091	13492	6305	13424	11352	6953	6119	27378	13508	14000	46636	49123	2878	3898	2710	1585	17799	25839	32621	203964	399549	17284	26905	195286
BAr3G3H3I__bin_95	2113	2193	1889	3289	2549	2914	298466	276671	199460	1338	2149	2710	1656	1079	1580	3203	3421	3523	1516	1291	1421	1065	1169	1238	1552	1679	1773	1336	1306	1936	2429	2714	2700	1361	3096	1445	2017	2119	2059	1361	2085	1460	366	1045	1005	374	660	754	1369	1648	414	1465	1525	1411	1723	3085	2332	1869	1123	1847	1175	531	891	1463	1897	4972
BOr2D2E2F__bin_44	27607	189268	64359	8435	59089	53267	8756	16537	14417	85681	94464	94574	294358	217798	277548	300393	268228	124697	55083	47367	37825	507010	390561	102511	141037	121054	119024	201159	190653	298497	234396	477390	314586	204475	466745	107290	195417	218474	295210	279415	460810	179483	19392	70791	56862	14891	79837	53343	185005	106698	95396	53424	45536	35483	133917	242973	252617	434307	417747	124696	93263	106477	85928	88723	159374	726229
CRr3G3H3I__bin_99	1568	1070	3517	2633	1718	1064	28057	18200	34555	1567	1339	1655	2050	1202	1817	1246	1335	2337	1688	1988	2525	742	1209	1091	7552	69222	66621	567	474	815	1533	1623	3945	1314	4326	2117	2856	7758	8602	558	2990	304	1758	1356	2846	839	385	1330	1770	2401	543	1932	2487	2928	1047	4653	1952	16850	755	34996	29085	1386	2687	593	341	2539
MGr3G3H3I__bin_57	1075	1669	2732	13962	4369	3928	7040	6222	9142	8851	4657	8303	5413	4132	7965	8174	9196	11816	2476	4946	4509	2541	615	2885	9272	10682	6529	19313	15071	17430	2767	5209	3541	4767	12247	3906	3101	5173	7468	3438	7137	2141	3849	7900	144391	17009	93659	289332	421707	1078662	1942	2802	6517	4474	6423	17021	22028	4727	1619	6143	1713	5642	4008	695	224	35378
LASAr3G3H3I__bin_69	430	309	387	1805	2083	719	5103	3627	10905	222	467	452	571	468	542	569	648	2966	995	5104	6550	1598	1212	1258	1304	3415	1642	1740	2021	150	72657	10417	28170	411	8193	5501	1479	21931	3695	345	9278	292	1786	1935	1373	3927	1050	1805	4819	6152	1544	1718	4808	3847	242	4467	3976	17764	4848	1452	300	406	9094	3681	1058	691
BAr2D2E2F__bin_126	20364	11404	115623	495112	52827	104474	9837	14963	12611	24047	30383	55421	39761	22928	65835	22698	38920	88410	248558	53475	196774	20262	31705	25365	6845	96778	111476	15954	16903	84105	7016	16758	16365	14342	37068	19498	13357	16731	9539	25112	19861	18027	1966	3498	4715	10768	3975	9291	9341	36416	5938	178820	88613	178746	7835	29852	19043	26981	15964	55864	6518	4345	3676	2968	2492	148838
CRr3G3H3I__bin_105	11263	21557	24869	3886	21905	44934	17238	29392	25957	6617	10917	5083	16897	8942	16310	21967	12700	6199	28388	122319	159993	58289	72097	22420	405912	370387	300951	5180	4506	7743	67721	48949	48353	13982	40565	17587	24943	32526	60047	16203	35282	13931	15680	33237	45664	11455	13198	18486	22222	55531	36995	30861	90836	91553	15156	16972	11832	8246	20982	244757	25182	36488	64654	4463	3810	23203
BAr3G3H3I__bin_8	23354	12100	12804	29411	28234	37259	123226	127614	347474	5356	9143	10493	7136	4725	11396	17000	20876	24223	58262	24675	62036	16845	21684	18470	24264	99255	67091	3222	2986	12480	15757	12643	11763	4620	15215	5017	7900	14829	11215	3620	6365	3318	7219	16908	14522	4699	5106	8498	15302	19413	4720	82994	29098	52546	4909	9592	5870	7784	5799	50153	36573	6169	8233	15256	20679	37475
LABRr1A1B1C__bin_36	118	212	136	81	158	107	69	97	98	107	59	109	198	172	95	122	92	57	93	118	137	173	208	93	123	114	98	139411	71042	26226	128	223	113	32860	2596	9163	185	138	179	1016	309	1490	22490	8481	312	36427	862	666	377	1195	580	83	98	100	5863	3672	5431	122	725	155	52	73	248	70	76	40632
CRr3G3H3I__bin_11	6090	27166	7972	681	6547	6210	247	3111	337	8640	6285	16293	17890	26997	16761	2809	4405	5934	14006	58743	26291	32779	33292	36046	147513	78722	132716	10444	6322	4267	28078	21868	16914	24220	26341	18953	4178	1138	12937	25171	4180	19332	66491	128836	116565	31558	57719	36215	28042	93808	174522	10993	32689	15431	5021	2323	1418	3147	27530	149945	4888	5061	2338	45921	71205	80091
LABRr1A1B1C__bin_15	4805	2836	1892	85	727	173	41	79	49	664	253	408	588	709	392	164	139	122	851	1103	1068	1504	1638	1248	1670	995	1358	46400	27754	87883	926	1402	418	59485	15329	18563	560	294	882	113370	7794	123658	4826	3794	2605	9181	3358	2135	1421	3536	4599	587	928	1286	28017	3615	6257	1764	23894	1903	544	510	186	834	1276	149380
SEr2D2E2F__bin_29	46433	19083	73188	471	1585	559	15	714	23	12232	2194	3431	22021	28562	5399	317	1571	1689	30144	30580	24869	31968	9635	45596	44332	15409	35983	14080	9193	8701	6207	1036	153	20139	21042	34763	1688	24	33	8472	194	64274	49304	71110	44004	18765	14941	7188	10818	34454	21315	34395	25658	20606	363	23	6	58	8755	76082	33624	238675	6177	122147	206844	337673
LASYr2D2E2F__bin_31	255398	330583	165965	10358	17117	227457	2685	9648	3473	134876	89941	231852	168578	64989	98499	69609	116569	55436	459355	168483	227888	156568	584547	210861	18197	382464	259883	36400	43781	81842	98888	71570	126271	51489	171417	72200	764462	691033	190002	35714	108403	25172	6372	11839	15188	16749	10074	19756	16755	84942	22358	363987	200584	157026	20994	70662	24935	288618	24516	180279	88092	19939	51374	4191	8079	160291
LABRr1A1B1C__bin_78	5672	48893	10168	2042	3540	4962	1155	1448	1775	12591	4417	7730	11116	24429	6763	4555	4486	4025	5354	8436	7189	7313	7955	4506	6340	6166	6978	159695	114706	187945	3784	10590	8405	254644	75089	111125	14252	6082	8352	21986	7317	80290	13498	9404	7967	12856	24547	9356	12113	16559	38122	4892	7476	6406	75066	41452	33495	25635	45763	8110	6254	7413	8003	13992	12743	470487
SEr3G3H3I__bin_35	18784	12317	13553	1172	8099	4953	222	1061	264	3471	2831	3158	6311	5957	3948	1371	1783	1292	11982	21461	16906	9061	11704	12834	23207	21688	39077	11563	9183	10304	4654	6386	4875	17094	14572	14682	6165	1809	5069	12726	5230	26051	13379	13088	7782	12087	15789	11321	12469	30655	17522	8833	20424	15887	3277	3852	2609	8192	11839	53717	21813	25391	4867	31295	21141	487947
BAr1A1B1C__bin_85	591121	203718	217227	7038	10200	39432	3317	5282	5023	365133	77054	83597	125136	165162	67263	171331	78299	20889	9951	5808	9535	260215	366533	264803	4233	5246	5410	3631	3462	19090	158762	192354	154652	142295	179324	215830	536246	200517	315792	54690	116951	125401	2932	2468	2404	3941	6042	6277	17927	11830	6455	8098	5463	6783	5057	20035	8820	135953	34327	5814	14105	20087	26900	8464	14338	76745
MGr1A1B1C__bin_9	33	95	26	133	75	47	355	294	269	69	114	721	284	341	248	125	147	170	103	550	307	987	1139	1091	900	595	632	411	327	81	644	315	366	375	471	226	56	128	173	111	320	163	11792	113195	125174	7370	41781	9801	21665	17682	7370	138	381	242	277	968	357	130	1165	762	101	169	302	50	20	179
SEr2D2E2F__bin_80	30257	19996	64608	33693	35816	24320	10857	18783	19905	20812	29181	26093	39339	20801	25033	18066	17418	16207	132638	230779	141787	107678	106771	122705	81851	160920	131452	3906	3077	3406	49121	40288	22119	108859	62508	70504	60312	15230	76406	43137	13727	30057	31940	93217	38320	25645	29049	33048	53493	141203	12464	106547	224563	162843	7143	8805	5037	46204	29677	135309	238710	357593	287344	92022	189389	538999
MGr3G3H3I__bin_77	410	753	715	390	514	1454	8929	7010	11146	773	1155	1409	957	1088	1503	1956	1701	2198	1788	1311	1371	8671	7045	5984	5260	4530	2551	7594	6624	3769	10934	21212	12063	1296	14086	3496	1378	3507	5061	21795	24780	4477	15316	18942	25199	7578	44393	38545	58295	114623	55829	1667	1297	1328	32700	25034	27049	3745	21429	3240	5139	6346	7328	4992	6217	25696
BAr3G3H3I__bin_81	3780	377	818	10706	1906	2917	237364	166937	271144	722	3757	1833	670	758	3324	33372	31061	87330	5529	1636	4296	267	477	1898	524	14592	925	1432	1935	6888	270	391	1031	339	17501	3467	360	1235	956	246	1167	183	734	419	959	349	170	644	362	1441	260	6801	2572	3049	397	6945	5041	9793	3825	731	1635	255	618	286	212	13878
LASCr2D2E2F__bin_104	13522	16882	7884	2260	10171	5953	1410	1732	1082	3579	2335	3774	3453	2729	2516	1568	1093	1028	9447	5927	6762	4202	5886	5800	4669	3526	6646	45906	32570	23833	47577	104723	176894	216634	134197	162744	13867	5647	12178	61379	46119	128380	71813	187965	165345	11367	31612	17689	29694	29182	15857	5141	4975	3881	14804	27499	10021	117359	49459	8654	5940	5157	3750	8204	7603	91301
MGr2D2E2F__bin_129	48529	199100	55152	4273	28322	12002	1962	3150	2317	33929	13606	20685	24518	19036	17758	9697	10958	9562	43183	50354	55904	42865	52260	27137	37385	32423	39496	85426	72467	280458	15763	37177	31455	62017	58892	52159	25805	19869	25512	428474	55450	196091	131610	103311	125983	222020	553887	285770	245612	455304	721105	37147	51083	37448	53943	39910	31003	58208	51272	50225	20209	23520	21415	26082	28827	629587
BAr2D2E2F__bin_111	364382	67531	103837	82966	862748	78790	2700	17983	3762	122028	83865	87078	182399	99090	124480	17743	27898	13154	885043	372117	590205	310566	324507	192343	1408324	940754	725885	58637	49446	75142	64002	105347	9602	477436	425952	411235	36271	7301	52028	284438	98638	331447	297629	291864	137213	206423	193182	150748	135061	333467	195337	1006936	413053	394222	30341	10541	6929	17531	104892	829651	565426	624339	393016	310864	598304	716358
BOr3G3H3I__bin_96	1471	1132	1308	10348	3832	1805	2654	3718	3081	8830	23279	38854	7651	3160	9380	53938	87947	97751	3765	1842	4382	1180	2465	2496	590	2749	2195	1964	1845	1974	6543	1604	8241	1141	38278	1222	8021	10346	2697	968	1799	1134	425	827	801	881	780	888	1412	2257	923	3888	1988	3175	777	5910	1587	3132	1325	1605	3156	2342	3424	3053	2069	6087
CRr2D2E2F__bin_44	12566	4619	12317	2674	5200	4189	657	13209	940	90611	12826	23887	58241	32221	22269	3169	3700	3484	330116	205636	138647	444059	645284	360943	44009	348365	604061	5214	3982	4217	4875	5647	2649	27942	19021	24208	6100	3262	4679	8019	5761	18755	5454	14096	9065	2119	3188	3191	5767	45416	2793	279937	238135	147012	1302	2063	1121	2953	3484	498000	693777	99139	127486	749134	373653	1673789
LASYr2D2E2F__bin_93	10771	16201	15862	22307	11862	27725	11215	13291	16689	283086	222377	396917	867823	289839	440213	380927	462550	245752	11015	10606	13037	6903	12306	8925	7201	11973	9200	38558	37433	103115	485410	272339	298815	106197	449498	154479	196217	796494	443387	115704	447789	205549	10737	13008	9789	34490	22413	51973	28398	30925	26954	10373	11645	11178	65604	139780	95486	504643	180897	7408	7831	2553	8081	3102	3320	198220
BAr1A1B1C__bin_138	215424	54877	138129	1295	3656	362	30	499	33	27410	4741	5596	4840	2917	937	542	1678	2402	61241	5919	20318	28995	21118	1023	19096	44197	25155	44495	38823	8701	34659	12422	13909	216011	105893	132434	2288	18860	13142	9501	6853	126428	16686	41753	85962	6333	1679	2046	4286	16087	1551	61435	6776	20495	757	842	435	179585	34210	14768	75	113	40	123	208	14864
SEr2D2E2F__bin_150	87780	8421	8388	3999	16951	2556	1776	3524	2561	11030	2659	4769	12129	25876	8359	1721	1809	2142	7369	6205	3418	29149	12863	26278	92499	51201	35988	3672	2976	4716	2371	9473	7212	41615	34003	70842	13522	3800	5975	7246	5142	8599	4312	16775	3999	5460	18759	11063	29384	46893	20458	6968	4301	10694	5070	9528	6056	7557	3466	37112	90307	683994	274055	1697	2291	12854
MGr1A1B1C__bin_54	6825	73307	52641	1685	5879	1588	821	1306	944	7627	1375	3371	6265	4673	2267	1464	1254	892	43046	190100	235990	35274	23166	3128	42771	30063	15250	183840	216575	21525	3669	3720	2128	65572	122825	69025	1064	885	4365	9572	5142	75348	313059	241338	82541	111377	111922	55487	96035	106752	81404	50886	179476	115597	15871	8403	6962	27156	238906	26887	4357	5982	4613	3585	4903	45002
BAr1A1B1C__bin_79	4403	16817	86942	4943	2726	3708	940	1336	1589	11687	9895	14660	16466	6109	10684	4838	5958	10986	5392	4542	6057	986	1015	8910	2778	3686	3386	436	359	800	660	520	3795	954	3388	1604	9525	4973	3054	280	469	192	272	930	482	197	154	339	1161	1232	157	4385	4976	4531	115	892	259	1170	330	3152	906	558	1525	534	259	2124
LABRr1A1B1C__bin_77	1268	2112	1451	1648	972	1097	626	860	665	1084	499	640	1027	931	706	908	732	630	1562	5931	6593	2309	2156	1331	1590	1438	1001	421633	381347	713694	2113	1988	1695	352174	73110	139580	2721	1223	1255	166610	235011	312091	9110	8991	4539	11403	6049	3454	2178	8933	10454	1765	4729	5130	66464	55111	53992	17455	10072	1272	856	2606	1220	971	1192	1092907
SEr3G3H3I__bin_39	4337	1820	3954	1071	11783	1266	1672	2112	2120	636	387	517	795	707	708	430	469	585	772	1368	1178	4719	5945	4547	1917	855	2355	544	377	630	287	264	336	785	1378	978	338	354	540	921	344	1392	691	1960	926	503	583	442	590	1117	3302	827	1588	1292	364	504	369	340	1178	4148	34982	8344	489	67006	48266	927916
BAr1A1B1C__bin_89	22499	325824	2613123	6060	23100	137061	3929	5377	6789	35909	8333	8941	10465	7254	7617	6270	7485	8468	28384	98069	174315	13300	3949	45021	64758	65849	53544	8833	11736	2734	8699	12150	5863	16257	30576	19785	8223	4101	21937	1402	6650	2622	7164	26740	17202	10087	8946	12982	35885	12909	1443	37451	108250	99365	1692	6961	3091	7309	1308	43192	3531	1120	1582	645	356	6385
MGr1A1B1C__bin_131	50	1092	92	110	44	136	21	36	25	5090	954	8951	3183	6566	2622	150	103	73	704	3914	1008	779	4345	1392	4865	239	631	66546	41592	34158	1195	6325	455	64107	49529	33635	54	150	130	132117	33476	138229	228417	160054	87725	229521	195825	107690	71978	189964	147108	538	2827	770	18881	4176	3855	673	94143	1122	175	109	136	53	43	58824
SEr3G3H3I__bin_275	13464	6976	21257	4748	297792	10943	831	4884	721	23036	11084	15623	26868	25746	15824	1092	1073	1075	61730	152222	131082	12771	24546	66960	259845	150916	184347	25926	27998	6767	5433	4251	2613	14529	20449	10702	4452	870	4224	3675	1020	19867	172383	157039	20286	36285	31433	11212	55631	78254	22812	50819	103181	79587	1174	1570	702	3116	23614	265084	508717	28907	7089	184029	316604	1365666
MGr2D2E2F__bin_77	1428	2009	1457	543	1155	1045	249	338	291	715	599	715	869	863	669	493	462	502	1138	2345	2571	1718	1728	1588	1966	1813	1533	6193	5342	4827	1618	1644	1295	3283	3366	2640	893	887	1142	2963	2694	3485	21171	4696	3122	119957	6244	10359	3022	13940	3825	1030	1819	1795	1921	2145	1921	2235	2971	2171	1158	1459	2434	904	1666	12384
SEr2D2E2F__bin_114	16442	40101	13531	5069	37502	101854	810	5004	1371	7695	20104	12322	14069	16618	19262	7889	11036	4290	10122	10145	10623	46539	100078	80531	152587	163783	190544	5068	3906	7266	20826	29426	9052	19395	36043	18859	12650	4329	44845	137967	25808	49365	8205	11502	7673	6080	15242	12359	93732	218499	717171	11193	10416	10814	10185	9788	6806	4437	21564	247226	598535	670764	234810	1138967	1978877	650716
LAWAr2D2E2F__bin_48	46275	118437	49980	15105	40021	48506	2858	7839	3941	27585	7009	17335	19098	42997	12696	9081	7028	5935	20788	49767	44618	113604	129604	78004	237024	127700	174380	114688	75735	169276	42426	159338	33241	117749	165039	290201	12830	17228	21281	401784	111935	552786	580652	329070	254594	1530621	1604328	1081287	826446	3725221	1786846	20176	40815	32658	246262	95885	118873	42432	230126	245426	38100	45576	89203	12879	16676	341769
MGr1A1B1C__bin_69	17788	41814	17399	2599	3687	7074	2241	4448	2782	21918	15865	17026	24226	13232	18761	14727	20078	32280	27257	42102	31935	24545	35780	13991	31205	34928	73320	21194	18500	26578	6243	68602	47396	31337	32481	42347	129057	47926	36572	57602	108884	177539	150311	890948	305623	65851	129344	98186	105287	170233	18481	23195	44257	31942	18301	89295	66879	39117	17213	104978	42186	23296	9126	2378	4086	56567
MGr1A1B1C__bin_32	146	1631	3237	263	142	441	151	495	159	595	450	1353	1525	1600	702	372	248	166	7244	32851	33672	13478	14903	2378	30128	18974	12639	51187	48439	11605	791	4189	3727	23311	25677	18138	471	329	1018	13876	5888	13816	22220	66916	39697	9824	19202	12194	26435	55466	17808	7257	26243	22223	10868	12385	10232	5548	45203	15345	155	357	239	70	75	19605
BAr1A1B1C__bin_116	64923	144421	53021	3311	15094	37338	3353	8182	2945	17168	14441	15768	9483	6180	13404	42786	26981	19170	4117	7920	8351	41052	31266	12847	16007	9422	12141	17951	17728	15947	54314	103477	141735	12930	66557	22629	81514	31384	25414	63178	37670	52149	6012	17813	13603	4785	10275	10043	17469	9714	5016	4477	7314	7048	19112	54774	60819	33668	52563	14324	2975	3653	3424	8642	15297	40299
MHr2D2E2F__bin_133	6357	7334	8601	21615	27521	24480	29357	29717	29005	18841	23718	21938	22193	17980	20775	29945	38653	33603	3930	9498	4662	5330	6678	9192	5938	5148	3860	9667	9868	14890	16097	21698	57050	3067	17388	3865	37706	31729	21817	7606	27942	8922	2948	5704	7196	2135	7194	7283	12176	13520	2195	5892	11239	4310	57214	346053	193376	55376	34412	3642	13388	8285	5014	3656	1324	31605
SEr2D2E2F__bin_46	162	116	214	419	169	121	152	1180	132	9296	3007	3038	47945	36827	15771	565	1202	775	27287	65364	76538	11305	10962	20060	56471	52080	51963	230	216	149	114	118	111	231	878	206	131	130	136	217	184	171	146	167	148	165	139	93	134	5287	160	33738	53256	31787	81	147	125	180	155	71372	99809	346428	167884	1638	5940	3719
LABRr1A1B1C__bin_56	11087	4263	3446	1539	3763	1970	731	995	800	22085	3271	3829	36190	30685	45048	1738	2415	1819	6917	3152	4823	13342	10699	5867	10087	6616	5626	55672	51171	67428	3121	6053	3253	16362	14809	14204	5443	3056	4087	11859	6742	14654	5043	6980	4666	10104	8481	9454	6198	8196	3405	7945	3318	3464	3602	7937	6690	4199	3480	6742	14989	12903	8363	5482	10832	142646
LAWAr2D2E2F__bin_134	7216	15248	7294	3434	5702	7299	733	1147	1062	4159	2014	2236	2917	3416	2746	1984	1729	1723	3309	5754	6281	9737	10030	4926	31992	7516	6734	61367	56603	59296	9407	16400	8848	145158	48742	110399	2672	3976	4719	1113583	232146	820791	54785	15964	12462	28423	19924	30557	14608	167231	43918	3348	4986	4641	209616	83140	88641	7168	166941	8766	4966	27440	13340	5962	9285	129503
CRr3G3H3I__bin_118	74698	98528	35342	18337	60984	40269	7252	16199	7449	38434	22894	28365	29646	23563	26544	16806	19402	16756	66085	46852	64253	160594	101818	178923	593642	302143	375616	76512	49594	65548	52110	92750	37364	210114	152597	99918	25030	23225	33340	312692	92108	194282	139664	102477	47037	298156	503424	258369	133458	528473	1226046	69721	48299	51580	81803	25787	17621	18330	92256	433974	176418	378913	338574	266890	275369	302023
MGr1A1B1C__bin_125	47	252	40	216	127	178	704	697	548	131	137	512	580	568	244	210	119	519	264	4354	1145	17194	10087	5574	1740	4338	2037	17786	17284	482	480	1262	7406	2235	2601	1743	61	135	179	3159	6447	5741	21001	198586	295920	17717	234804	91027	88824	132262	52946	270	2848	1107	17995	32591	22019	994	47937	2512	259	610	757	59	28	1081
LABRr1A1B1C__bin_2	296	148	173	37	106	64	23	23	22	186	70	98	279	288	208	51	40	32	158	126	198	231	241	129	199	155	228	245975	196920	23092	93	152	104	1133	979	867	127	70	203	1688	1067	1064	653	592	733	33626	2512	450	164	760	643	145	150	211	6259	5860	5960	365	2722	251	59	128	43	86	170	38963
LASCr2D2E2F__bin_22	3367	7144	3402	1516	1528	1596	710	1115	764	3692	1001	1532	3540	3935	2284	1399	1021	732	3696	14847	13095	8213	14561	10063	18104	5686	9034	417334	314117	66770	63056	19651	6874	190302	135123	214473	2621	1518	3198	50874	19740	43082	488604	461905	230471	319189	126286	52902	12890	109004	60242	3753	11996	9225	43814	13804	15997	5744	43048	16387	2463	4362	2613	2223	2402	126499
SEr3G3H3I__bin_73	5697	1868	3502	1715	2460	2332	952	1673	1047	14735	8192	154121	17436	7909	11625	2010	2715	5270	81253	38733	23887	19051	18273	19550	6437	11720	23025	5505	4323	5634	1785	2559	1848	7725	4967	5969	2025	3080	1826	2684	3055	5091	3582	8079	4118	1471	1709	1544	1728	12827	2213	103711	43446	28003	1277	2911	1835	2761	1264	23396	186870	15145	10631	1151254	2011312	5953324
