Genome	BAr1A.filtered Read Count	BAr1B.filtered Read Count	BAr1C.filtered Read Count	BAr2D.filtered Read Count	BAr2E.filtered Read Count	BAr2F.filtered Read Count	BAr3G.filtered Read Count	BAr3H.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
SEr2D2E2F__bin_169	240	215	128	226	223	175	828	1487	3206	268	262	325	315	278	303	691	1152	604	471	2243	566	588	464	2866	13627	8197	3773	67	64	66	252	1548	163	126	466	76	963	233	1367	60	72	53	130	164	172	46	115	175	596	389	70	434	2424	487	45	145	106	108	52	2508	965	54972	121233	5121	1379	1735
BOr2D2E2F__bin_15	218	1145	196	175	57	143	65	245	106	2716	238	15343	19719	59977	2459	77	56	82	943	6299	2814	7903	10588	16262	4983	3667	7306	2894	2362	3614	140	122	66	1855	346	477	80	38	79	324	390	987	24466	15958	8254	49624	29985	20509	9372	94320	41176	722	4489	2425	12	68	18	69	419	9844	1025	2416	1764	120	298	7426
CRr2D2E2F__bin_78	50277	58014	86505	3668	76073	37917	2286	3658	1931	6807	1970	2710	3271	3753	2512	1514	1448	1253	50375	96449	71207	229650	295407	187252	65265	44445	50791	17657	15769	8040	15130	46751	11935	32129	33275	26897	15438	6746	15260	20855	9786	78979	21074	81172	81237	30554	67193	90244	223529	92865	11687	44863	75669	54702	3692	5379	2759	12774	51276	60806	10602	9593	10778	11178	12512	68165
CRr2D2E2F__bin_49	25596	20108	13123	3249	9759	7433	6750	6327	4177	14883	26442	27570	22608	44671	18418	6325	7907	8614	14422	14817	14401	98748	217227	146364	39467	26566	35791	6871	4965	8228	23159	52405	36198	24709	27664	22097	43498	13936	25592	27223	14956	28935	31212	14829	19067	19381	26344	30540	24661	78762	22666	9804	13145	10286	13272	17788	9603	24605	14467	50649	817798	424899	454692	614396	810026	1882921
BAr1A1B1C__bin_42	438152	494547	491853	13654	44271	146800	17693	15176	15579	44099	5585	7450	55234	26445	37756	22153	11618	15125	17581	11418	30377	165607	158946	24037	9121	14872	10647	23216	23962	38617	231636	69937	123449	132998	219396	163046	21311	133031	45822	41615	123899	119048	4750	19215	10846	10995	15904	27371	64721	32844	12412	13094	11079	13833	20255	40254	35297	542888	62715	8469	8467	8050	31281	2989	3731	77973
MHr3G3H3I__bin_20	25950	57244	18370	6577	14211	19480	2220	3338	2767	13036	7568	9699	13269	12909	13068	8599	9174	6841	9182	12817	15323	43068	66417	14657	49104	32680	41436	225026	211168	852350	27179	73565	31682	559100	199399	236632	15862	15123	15064	941163	658541	1619982	45095	36291	29202	60468	94067	60767	32005	245385	199964	9226	10890	11940	232319	87092	179641	262016	226802	57525	14490	163668	36049	33918	57443	1642121
LABRr1A1B1C__bin_68	43	934	143	197	51	84	196	361	296	578	174	2064	5151	6001	2591	103	109	137	661	5004	2458	5492	7560	12405	3473	2587	5096	390065	324417	23567	291	131	134	9172	3433	2889	27	69	88	10199	14190	21527	91168	24452	11109	325309	43892	26397	12652	81361	51412	545	3796	1907	856	321	129	506	32810	7053	540	1385	1344	32	22	44661
SEr2D2E2F__bin_97	27878	13404	13750	7783	31006	18344	1903	3729	3588	21606	7435	15395	11613	16926	8804	5967	5413	5795	15508	15437	19068	19300	43260	14099	13484	13022	17975	6625	6083	7754	9512	19608	10089	19421	18393	15270	12106	10876	14172	7914	9657	30644	10795	17283	11005	8666	14644	11454	12469	20987	6346	12204	14103	14109	8109	8115	7049	12358	15045	18961	132392	85541	52556	209281	215333	1560990
CRr2D2E2F__bin_5	369270	231795	177731	2460	111082	19645	141	5121	185	25390	2703	6733	9149	15224	5074	1523	1226	699	187845	168681	207121	459961	438957	190149	251264	167385	242606	375105	284674	163573	24185	22498	8394	500648	247430	451776	8296	5722	7482	326349	63636	989389	151059	284680	318708	113690	238255	94778	142036	168609	164016	153070	150535	221360	21915	16122	12875	23316	248573	374813	7495	5998	1863	7764	9379	325740
MHr1A1B1C__bin_14	1171	1083	21351	704	470	1732	116	1255	165	1694	206	285	353	295	199	88	97	121	135964	203990	318021	70486	162353	82278	21233	38124	58814	5276	3674	659	127	139	62	13447	2088	5116	81	72	163	2924	274	10662	2505	9697	4400	365	403	236	318	17653	358	108445	218865	362077	220	277	149	165	728	61057	32190	121017	54423	307252	194415	2108910
