phrog_id	phrog	annot	category
2560	phrog_2560	NA	unknown function
2561	phrog_2561	DNA ligase	DNA, RNA and nucleotide metabolism
2562	phrog_2562	replication initiation protein	DNA, RNA and nucleotide metabolism
2563	phrog_2563	NA	unknown function
2564	phrog_2564	NA	unknown function
2565	phrog_2565	NA	unknown function
2566	phrog_2566	NA	unknown function
2567	phrog_2567	NA	unknown function
2568	phrog_2568	ocr-like anti-restriction	moron, auxiliary metabolic gene and host takeover
2569	phrog_2569	NA	unknown function
2570	phrog_2570	NA	unknown function
2571	phrog_2571	NA	unknown function
2572	phrog_2572	NA	unknown function
2573	phrog_2573	DNA polymerase	DNA, RNA and nucleotide metabolism
