phrog_id	phrog	annot	category
3076	phrog_3076	NA	unknown function
3077	phrog_3077	NA	unknown function
3078	phrog_3078	NA	unknown function
3079	phrog_3079	NA	unknown function
3080	phrog_3080	NA	unknown function
3081	phrog_3081	NA	unknown function
3082	phrog_3082	NA	unknown function
3083	phrog_3083	NA	unknown function
3084	phrog_3084	endolysin	lysis
3085	phrog_3085	NA	unknown function
3086	phrog_3086	NA	unknown function
3087	phrog_3087	NA	unknown function
3088	phrog_3088	amidase	lysis
3089	phrog_3089	NA	unknown function
3090	phrog_3090	NA	unknown function
3091	phrog_3091	NA	unknown function
3092	phrog_3092	NA	unknown function
3093	phrog_3093	NA	unknown function
3094	phrog_3094	NA	unknown function
3095	phrog_3095	tail protein with endopeptidase activity	other
3096	phrog_3096	tail assembly chaperone	tail
3097	phrog_3097	NA	unknown function
3098	phrog_3098	NA	unknown function
3099	phrog_3099	NA	unknown function
3100	phrog_3100	tail fiber protein	tail
3101	phrog_3101	NA	unknown function
3102	phrog_3102	NA	unknown function
3103	phrog_3103	NA	unknown function
3104	phrog_3104	NA	unknown function
3105	phrog_3105	NA	unknown function
3106	phrog_3106	HNH endonuclease	DNA, RNA and nucleotide metabolism
3107	phrog_3107	NA	unknown function
3108	phrog_3108	NA	unknown function
3109	phrog_3109	NA	unknown function
3110	phrog_3110	NA	unknown function
3111	phrog_3111	NA	unknown function
3112	phrog_3112	virion structural protein	head and packaging
3113	phrog_3113	NA	unknown function
3114	phrog_3114	NA	unknown function
3115	phrog_3115	NA	unknown function
3116	phrog_3116	NA	unknown function
3117	phrog_3117	NA	unknown function
3118	phrog_3118	HNH endonuclease	DNA, RNA and nucleotide metabolism
3119	phrog_3119	NA	unknown function
3120	phrog_3120	NA	unknown function
3121	phrog_3121	NA	unknown function
3122	phrog_3122	RF-1 domain peptide chain release factor	other
3123	phrog_3123	NA	unknown function
3124	phrog_3124	NA	unknown function
3125	phrog_3125	S-adenosylmethionine decarboxylase	other
3126	phrog_3126	NA	unknown function
3127	phrog_3127	NA	unknown function
3128	phrog_3128	NA	unknown function
3129	phrog_3129	NA	unknown function
3130	phrog_3130	NA	unknown function
3131	phrog_3131	NA	unknown function
3132	phrog_3132	NA	unknown function
3133	phrog_3133	NA	unknown function
3134	phrog_3134	NA	unknown function
3135	phrog_3135	NA	unknown function
3136	phrog_3136	NA	unknown function
3137	phrog_3137	NA	unknown function
3138	phrog_3138	NA	unknown function
3139	phrog_3139	aminotransferase	other
3140	phrog_3140	tail assembly chaperone	tail
3141	phrog_3141	NA	unknown function
3142	phrog_3142	FabG-like 3-oxoacyl-(acyl-carrier-protein) reductase	moron, auxiliary metabolic gene and host takeover
3143	phrog_3143	NA	unknown function
3144	phrog_3144	NA	unknown function
3145	phrog_3145	NA	unknown function
3146	phrog_3146	NA	unknown function
3147	phrog_3147	NA	unknown function
3148	phrog_3148	RNA polymerase beta subunit	DNA, RNA and nucleotide metabolism
3149	phrog_3149	NA	unknown function
3150	phrog_3150	NA	unknown function
3151	phrog_3151	inhibitor of MrcBC restriction	moron, auxiliary metabolic gene and host takeover
3152	phrog_3152	NA	unknown function
3153	phrog_3153	NA	unknown function
3154	phrog_3154	NA	unknown function
3155	phrog_3155	internal virion protein	head and packaging
3156	phrog_3156	NA	unknown function
3157	phrog_3157	NA	unknown function
3158	phrog_3158	NA	unknown function
3159	phrog_3159	NA	unknown function
3160	phrog_3160	NA	unknown function
3161	phrog_3161	NA	unknown function
3162	phrog_3162	NA	unknown function
3163	phrog_3163	NA	unknown function
3164	phrog_3164	NA	unknown function
3165	phrog_3165	NA	unknown function
3166	phrog_3166	NA	unknown function
3167	phrog_3167	NA	unknown function
3168	phrog_3168	NA	unknown function
3169	phrog_3169	NA	unknown function
3170	phrog_3170	NA	unknown function
3171	phrog_3171	replication initiation protein	DNA, RNA and nucleotide metabolism
3172	phrog_3172	NA	unknown function
3173	phrog_3173	NA	unknown function
3174	phrog_3174	NA	unknown function
3175	phrog_3175	NA	unknown function
3176	phrog_3176	NA	unknown function
3177	phrog_3177	NA	unknown function
3178	phrog_3178	Arc-like DNA binding domain	transcription regulation
3179	phrog_3179	NA	unknown function
3180	phrog_3180	Arc-like repressor	transcription regulation
3181	phrog_3181	NA	unknown function
3182	phrog_3182	NA	unknown function
