"","Host","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","CRr3G3H3I__bin_97",13578.6963275287,-1.83906520283188,0.529289200850941,11.6189396610763,0.00299901963954694,0.00445854253079311
"2","MGr2D2E2F__bin_102",41832.6290286452,2.78368559454427,0.888372539413538,18.9335186725296,7.73817698886503e-05,0.00014320443722132
"3","MGr2D2E2F__bin_107",3078.18193374224,2.30883638901626,0.705191914610461,76.7552735808876,2.15181095113474e-17,1.71376372179659e-16
"4","BOr1A1B1C__bin_57",15276.204695936,2.01390511277154,1.59983009903978,6.82720734119621,0.0329223450598956,0.040674143758209
"5","CRr2D2E2F__bin_21",59049.1726237724,0.0870974317660087,0.492801320743552,20.5669654346815,3.41932357911944e-05,6.83864715823887e-05
"6","SEr2D2E2F__bin_42",3768.71314092805,1.13673254545322,0.51302415999304,16.4523765552485,0.000267554231492613,0.000464315903679788
"7","LASYr2D2E2F__bin_2",17098.3786099001,-2.31810675097981,0.913049826484402,12.1890672386471,0.00225516165931176,0.00337517483239276
"8","SEr3G3H3I__bin_90",17947.0124521714,0.949836644049562,0.337330473546769,22.6986787208529,1.17772675844698e-05,2.53751755684711e-05
"9","CRr1A1B1C__bin_11",3150934.04432921,-0.464543762538241,0.617939221410384,14.4685430679527,0.00072143264806979,0.00116579333709828
"10","CRr1A1B1C__bin_138",34715.1887366507,-1.34346193227613,0.489434737018962,7.59156665193532,0.0224653012687308,0.0286272124738683
"11","LABRr1A1B1C__bin_32",102544.498681706,2.12700498415023,0.733051220023579,20.2539980105115,3.99852866504808e-05,7.7875274437181e-05
"12","SEr3G3H3I__bin_216",45740.2927335817,3.89358987401485,0.711489813373972,26.9061881313044,1.43679723236134e-06,3.52094266831406e-06
"13","BAr1A1B1C__bin_108",13677.0264929956,-0.99166913355879,0.376542683340167,6.81402724132838,0.0331400214190362,0.0408299711405805
"14","SEr2D2E2F__bin_135",153778.275689173,0.980359030658313,0.583426205052662,16.66433696608,0.000240649634013778,0.000420900928510372
"15","MGr1A1B1C__bin_104",78863.8099564732,3.76559048674727,0.720853182959192,34.4047860803488,3.38139282757542e-08,9.79286494219894e-08
"16","MGr3G3H3I__bin_125",4567.77067339804,2.48991627903173,0.668407863159098,35.4433421966227,2.01175936591892e-08,6.0217763570459e-08
"17","BOr1A1B1C__bin_20",11299.1313332643,-1.0984618873,0.275750687569805,34.182403475328,3.77907400080407e-08,1.08739806732814e-07
"18","MHr1A1B1C__bin_78",414034.346263311,0.904587521928406,0.453135215848561,44.8769706342342,1.79924226579223e-10,6.6871837545278e-10
"19","LASAr3G3H3I__bin_54",186477.490780024,-3.89163054859614,0.494998458974026,125.536248007514,5.49730845190758e-28,1.22589978477539e-26
"20","BOr2D2E2F__bin_74",720779.833909919,-2.03347011004921,0.724706073890814,7.48663687261828,0.0236754072987538,0.0298283380091644
"21","MHr2D2E2F__bin_49",7263.60490926541,0.184523463148126,0.411783577859253,71.7585777222891,2.61711515893986e-16,1.94538893481196e-15
"22","BOr2D2E2F__bin_32",13087.6126666246,1.4312146524478,0.770166800910552,24.2068030613069,5.54063451342978e-06,1.22941442437298e-05
"23","BAr2D2E2F__bin_37",50612.2103878998,-0.557389577471773,0.653081813433572,8.32862275331817,0.0155404127072206,0.0202070672519544
"24","LABRr1A1B1C__bin_19",167692.814337812,0.492317300102669,0.724171232313619,148.275396100035,6.34463782263259e-33,2.02122033492438e-31
"25","MHr2D2E2F__bin_75",213891.83597264,4.60561088423409,0.563145073806606,92.6629367240634,7.55960235938576e-21,8.2233723226489e-20
"26","LAWAr2D2E2F__bin_155",82268.8027715741,-1.30275052105942,0.4486949294118,8.89034578460263,0.0117350769510812,0.0154847465094148
"27","SEr2D2E2F__bin_145",21975.1725392599,2.79065417952155,0.576039279260439,23.9107914841397,6.42447436085475e-06,1.4184730519511e-05
"28","CRr2D2E2F__bin_61",14583.1713693552,0.577505093170435,0.547278645064648,9.62990346996571,0.00810761338255837,0.0111261402111416
"29","BOr2D2E2F__bin_30",31949.3175283911,1.27215312555902,0.55024967231117,7.07970391042494,0.0290176226720025,0.0362517078759471
"30","BAr1A1B1C__bin_100",36658.9718754284,0.830478908709302,0.355785639836567,19.9623405575079,4.62628970032563e-05,8.85547298860614e-05
"31","SEr3G3H3I__bin_180",115822.724219298,2.00224494518694,0.732571683666561,14.2763057949593,0.000794217744045833,0.00127877658427596
"32","LABRr1A1B1C__bin_86",39142.1766673985,0.931752065146242,0.522890178422567,32.976735315406,6.90546471791218e-08,1.92489829011802e-07
"33","CRr2D2E2F__bin_63",360586.027213007,-1.91489221247021,0.448172634985887,20.6275331964789,3.31732543610588e-05,6.66453668695146e-05
"34","SEr3G3H3I__bin_84",17307.2838227329,1.1165989080625,0.444827342462811,13.0180862915546,0.00148990466278895,0.00229137061932369
